        Name	    TI	   Ent	      	       
     CopperA-HW5	124.9841	 -4.5988	92.0000	 110.0000	      
          SA-HW5	46.1920	 -3.3728	92.0000	 110.0000	      
       GossA-HW5	168.5434	 -3.8760	92.0000	 110.0000	      
     Gamma1F-HW5	94.1595	 -4.1080	92.0000	 110.0000	      
     Gamma1F-HW5	94.1595	 -4.1080	92.0000	 110.0000	      
     Gamma2F-HW5	94.1561	 -4.1145	92.0000	 110.0000	      
       GossF-HW5	168.5434	 -3.8760	92.0000	 110.0000	      
      ShearF-HW5	257.7956	 -4.7863	92.0000	 110.0000	      
       O554F-HW5	99.9179	 -4.0628	92.0000	 110.0000	      
     Alpha1F-HW5	52.8963	 -3.4193	92.0000	 110.0000	      
     Alpha2F-HW5	58.3152	 -3.1880	92.0000	 110.0000	      
     Alpha3F-HW5	60.7682	 -3.4901	92.0000	 110.0000	      
     Alpha4F-HW5	95.5907	 -3.7642	92.0000	 110.0000	      
      RGossF-HW5	182.8364	 -5.4450	92.0000	 110.0000	      
   UniformA-HW10	1.0000	 -0.0000	92.0000	 110.0000	      
   UniformF-HW10	1.0000	 -0.0000	92.0000	 110.0000	      
AlphaFiberF-HW10	5.4186	 -1.2587	92.0000	 110.0000	      
GammaFiber2F-HW10	6.2655	 -1.5150	92.0000	 110.0000	      
 BetaFiberA-HW10	4.6086	 -1.2560	92.0000	 110.0000	      
     BrassA-HW10	11.5259	 -1.9935	92.0000	 110.0000	      
      CubeA-HW10	23.0517	 -2.6547	92.0000	 110.0000	      
    CopperA-HW10	11.5259	 -2.1451	92.0000	 110.0000	      
         SA-HW10	5.8307	 -1.3697	92.0000	 110.0000	      
      GossA-HW10	23.0517	 -2.4500	92.0000	 110.0000	      
    Gamma1F-HW10	11.5259	 -2.0006	92.0000	 110.0000	      
    Gamma1F-HW10	11.5259	 -2.0006	92.0000	 110.0000	      
    Gamma2F-HW10	11.5259	 -2.0344	92.0000	 110.0000	      
      GossF-HW10	23.0517	 -2.4500	92.0000	 110.0000	      
     ShearF-HW10	23.0517	 -2.6501	92.0000	 110.0000	      
      O554F-HW10	11.5259	 -2.0128	92.0000	 110.0000	      
    Alpha1F-HW10	11.8831	 -1.9004	92.0000	 110.0000	      
    Alpha2F-HW10	11.5274	 -1.7962	92.0000	 110.0000	      
    Alpha3F-HW10	11.5259	 -1.8334	92.0000	 110.0000	      
    Alpha4F-HW10	11.5259	 -1.9142	92.0000	 110.0000	      
     RGossF-HW10	23.0517	 -2.8775	92.0000	 110.0000	      
   UniformA-HW15	1.0000	 -0.0000	92.0000	 110.0000	      
   UniformF-HW15	1.0000	 -0.0000	92.0000	 110.0000	      
AlphaFiberF-HW15	2.3570	 -0.5300	92.0000	 110.0000	      
GammaFiber2F-HW15	2.6226	 -0.6986	92.0000	 110.0000	      
 BetaFiberA-HW15	2.1496	 -0.5376	92.0000	 110.0000	      
     BrassA-HW15	3.5150	 -0.8709	92.0000	 110.0000	      
      CubeA-HW15	6.9714	 -1.4921	92.0000	 110.0000	      
    CopperA-HW15	3.5150	 -0.9274	92.0000	 110.0000	      
         SA-HW15	2.1354	 -0.5206	92.0000	 110.0000	      
      GossA-HW15	6.9714	 -1.4129	92.0000	 110.0000	      
    Gamma1F-HW15	3.5150	 -0.8712	92.0000	 110.0000	      
    Gamma1F-HW15	3.5150	 -0.8712	92.0000	 110.0000	      
    Gamma2F-HW15	3.5150	 -0.8942	92.0000	 110.0000	      
      GossF-HW15	6.9714	 -1.4129	92.0000	 110.0000	      
     ShearF-HW15	6.9714	 -1.4867	92.0000	 110.0000	      
      O554F-HW15	3.5222	 -0.8884	92.0000	 110.0000	      
    Alpha1F-HW15	4.2307	 -1.0184	92.0000	 110.0000	      
    Alpha2F-HW15	3.5657	 -0.8338	92.0000	 110.0000	      
    Alpha3F-HW15	3.5150	 -0.8184	92.0000	 110.0000	      
    Alpha4F-HW15	3.5148	 -0.8446	92.0000	 110.0000	      
     RGossF-HW15	6.9714	 -1.5870	92.0000	 110.0000	      
   UniformA-HW20	1.0000	 -0.0000	92.0000	 110.0000	      
   UniformF-HW20	1.0000	 -0.0000	92.0000	 110.0000	      
AlphaFiberF-HW20	1.4298	 -0.1765	92.0000	 110.0000	      
GammaFiber2F-HW20	1.5678	 -0.2724	92.0000	 110.0000	      
 BetaFiberA-HW20	1.3827	 -0.1876	92.0000	 110.0000	      
     BrassA-HW20	1.7010	 -0.3093	92.0000	 110.0000	      
      CubeA-HW20	3.0381	 -0.7361	92.0000	 110.0000	      
    CopperA-HW20	1.7010	 -0.3375	92.0000	 110.0000	      
         SA-HW20	1.3412	 -0.1649	92.0000	 110.0000	      
      GossA-HW20	3.0381	 -0.6997	92.0000	 110.0000	      
    Gamma1F-HW20	1.7010	 -0.3157	92.0000	 110.0000	      
    Gamma1F-HW20	1.7010	 -0.3157	92.0000	 110.0000	      
    Gamma2F-HW20	1.7010	 -0.3234	92.0000	 110.0000	      
      GossF-HW20	3.0381	 -0.6997	92.0000	 110.0000	      
     ShearF-HW20	3.0381	 -0.7325	92.0000	 110.0000	      
      O554F-HW20	1.7191	 -0.3250	92.0000	 110.0000	      
    Alpha1F-HW20	2.1901	 -0.4675	92.0000	 110.0000	      
    Alpha2F-HW20	1.7793	 -0.3235	92.0000	 110.0000	      
    Alpha3F-HW20	1.7010	 -0.2936	92.0000	 110.0000	      
    Alpha4F-HW20	1.7070	 -0.3064	92.0000	 110.0000	      
     RGossF-HW20	3.0381	 -0.7827	92.0000	 110.0000	      
   UniformA-HW25	1.0000	 -0.0000	92.0000	 110.0000	      
   UniformF-HW25	1.0000	 -0.0000	92.0000	 110.0000	      
AlphaFiberF-HW25	1.1338	 0.0100	92.0000	 110.0000	      
GammaFiber2F-HW25	1.1875	 -0.0345	92.0000	 110.0000	      
 BetaFiberA-HW25	1.1233	 0.0044	92.0000	 110.0000	      
     BrassA-HW25	1.2032	 -0.0390	92.0000	 110.0000	      
      CubeA-HW25	1.6993	 -0.2719	92.0000	 110.0000	      
    CopperA-HW25	1.2032	 -0.0537	92.0000	 110.0000	      
         SA-HW25	1.1030	 0.0174	92.0000	 110.0000	      
      GossA-HW25	1.6993	 -0.2532	92.0000	 110.0000	      
    Gamma1F-HW25	1.2032	 -0.0457	92.0000	 110.0000	      
    Gamma1F-HW25	1.2032	 -0.0457	92.0000	 110.0000	      
    Gamma2F-HW25	1.2032	 -0.0465	92.0000	 110.0000	      
      GossF-HW25	1.6993	 -0.2532	92.0000	 110.0000	      
     ShearF-HW25	1.6993	 -0.2698	92.0000	 110.0000	      
      O554F-HW25	1.2151	 -0.0481	92.0000	 110.0000	      
    Alpha1F-HW25	1.4221	 -0.1354	92.0000	 110.0000	      
    Alpha2F-HW25	1.2485	 -0.0552	92.0000	 110.0000	      
    Alpha3F-HW25	1.2032	 -0.0349	92.0000	 110.0000	      
    Alpha4F-HW25	1.2085	 -0.0413	92.0000	 110.0000	      
     RGossF-HW25	1.6993	 -0.2966	92.0000	 110.0000	      
   UniformA-HW30	1.0000	 -0.0000	92.0000	 110.0000	      
   UniformF-HW30	1.0000	 -0.0000	92.0000	 110.0000	      
AlphaFiberF-HW30	1.0394	 -0.0168	92.0000	 110.0000	      
GammaFiber2F-HW30	1.0566	 -0.0304	92.0000	 110.0000	      
 BetaFiberA-HW30	1.0369	 -0.0198	92.0000	 110.0000	      
     BrassA-HW30	1.0578	 -0.0262	92.0000	 110.0000	      
      CubeA-HW30	1.2165	 -0.0984	92.0000	 110.0000	      
    CopperA-HW30	1.0578	 -0.0346	92.0000	 110.0000	      
         SA-HW30	1.0297	 -0.0160	92.0000	 110.0000	      
      GossA-HW30	1.2165	 -0.0875	92.0000	 110.0000	      
    Gamma1F-HW30	1.0578	 -0.0308	92.0000	 110.0000	      
    Gamma1F-HW30	1.0578	 -0.0308	92.0000	 110.0000	      
    Gamma2F-HW30	1.0578	 -0.0311	92.0000	 110.0000	      
      GossF-HW30	1.2165	 -0.0875	92.0000	 110.0000	      
     ShearF-HW30	1.2165	 -0.0972	92.0000	 110.0000	      
      O554F-HW30	1.0624	 -0.0305	92.0000	 110.0000	      
    Alpha1F-HW30	1.1323	 -0.0588	92.0000	 110.0000	      
    Alpha2F-HW30	1.0745	 -0.0324	92.0000	 110.0000	      
    Alpha3F-HW30	1.0578	 -0.0252	92.0000	 110.0000	      
    Alpha4F-HW30	1.0600	 -0.0277	92.0000	 110.0000	      
     RGossF-HW30	1.2165	 -0.1129	92.0000	 110.0000	      
   UniformA-HW35	1.0000	 -0.0000	92.0000	 110.0000	      
   UniformF-HW35	1.0000	 -0.0000	92.0000	 110.0000	      
AlphaFiberF-HW35	1.0101	 -0.0037	92.0000	 110.0000	      
GammaFiber2F-HW35	1.0146	 -0.0080	92.0000	 110.0000	      
 BetaFiberA-HW35	1.0095	 -0.0051	92.0000	 110.0000	      
     BrassA-HW35	1.0147	 -0.0055	92.0000	 110.0000	      
      CubeA-HW35	1.0564	 -0.0265	92.0000	 110.0000	      
    CopperA-HW35	1.0147	 -0.0097	92.0000	 110.0000	      
         SA-HW35	1.0076	 -0.0041	92.0000	 110.0000	      
      GossA-HW35	1.0564	 -0.0209	92.0000	 110.0000	      
    Gamma1F-HW35	1.0147	 -0.0080	92.0000	 110.0000	      
    Gamma1F-HW35	1.0147	 -0.0080	92.0000	 110.0000	      
    Gamma2F-HW35	1.0147	 -0.0081	92.0000	 110.0000	      
      GossF-HW35	1.0564	 -0.0209	92.0000	 110.0000	      
     ShearF-HW35	1.0564	 -0.0259	92.0000	 110.0000	      
      O554F-HW35	1.0159	 -0.0073	92.0000	 110.0000	      
    Alpha1F-HW35	1.0346	 -0.0151	92.0000	 110.0000	      
    Alpha2F-HW35	1.0192	 -0.0075	92.0000	 110.0000	      
    Alpha3F-HW35	1.0147	 -0.0054	92.0000	 110.0000	      
    Alpha4F-HW35	1.0153	 -0.0063	92.0000	 110.0000	      
     RGossF-HW35	1.0564	 -0.0339	92.0000	 110.0000	      
   UniformA-HW40	1.0000	 -0.0000	92.0000	 110.0000	      
   UniformF-HW40	1.0000	 -0.0000	92.0000	 110.0000	      
AlphaFiberF-HW40	1.0020	 -0.0004	92.0000	 110.0000	      
GammaFiber2F-HW40	1.0030	 -0.0017	92.0000	 110.0000	      
 BetaFiberA-HW40	1.0019	 -0.0010	92.0000	 110.0000	      
     BrassA-HW40	1.0030	 -0.0006	92.0000	 110.0000	      
      CubeA-HW40	1.0114	 -0.0054	92.0000	 110.0000	      
    CopperA-HW40	1.0030	 -0.0025	92.0000	 110.0000	      
         SA-HW40	1.0015	 -0.0008	92.0000	 110.0000	      
      GossA-HW40	1.0114	 -0.0029	92.0000	 110.0000	      
    Gamma1F-HW40	1.0030	 -0.0017	92.0000	 110.0000	      
    Gamma1F-HW40	1.0030	 -0.0017	92.0000	 110.0000	      
    Gamma2F-HW40	1.0030	 -0.0017	92.0000	 110.0000	      
      GossF-HW40	1.0114	 -0.0029	92.0000	 110.0000	      
     ShearF-HW40	1.0114	 -0.0051	92.0000	 110.0000	      
      O554F-HW40	1.0032	 -0.0013	92.0000	 110.0000	      
    Alpha1F-HW40	1.0070	 -0.0027	92.0000	 110.0000	      
    Alpha2F-HW40	1.0039	 -0.0010	92.0000	 110.0000	      
    Alpha3F-HW40	1.0030	 -0.0006	92.0000	 110.0000	      
    Alpha4F-HW40	1.0031	 -0.0009	92.0000	 110.0000	      
     RGossF-HW40	1.0114	 -0.0087	92.0000	 110.0000	      
   UniformA-HW45	1.0000	 -0.0000	92.0000	 110.0000	      
   UniformF-HW45	1.0000	 -0.0000	92.0000	 110.0000	      
AlphaFiberF-HW45	1.0003	 0.0001	92.0000	 110.0000	      
GammaFiber2F-HW45	1.0004	 -0.0003	92.0000	 110.0000	      
 BetaFiberA-HW45	1.0003	 -0.0002	92.0000	 110.0000	      
     BrassA-HW45	1.0004	 0.0001	92.0000	 110.0000	      
      CubeA-HW45	1.0015	 -0.0007	92.0000	 110.0000	      
    CopperA-HW45	1.0004	 -0.0006	92.0000	 110.0000	      
         SA-HW45	1.0002	 -0.0001	92.0000	 110.0000	      
      GossA-HW45	1.0015	 0.0002	92.0000	 110.0000	      
    Gamma1F-HW45	1.0004	 -0.0003	92.0000	 110.0000	      
    Gamma1F-HW45	1.0004	 -0.0003	92.0000	 110.0000	      
    Gamma2F-HW45	1.0004	 -0.0003	92.0000	 110.0000	      
      GossF-HW45	1.0015	 0.0002	92.0000	 110.0000	      
     ShearF-HW45	1.0015	 -0.0006	92.0000	 110.0000	      
      O554F-HW45	1.0004	 -0.0001	92.0000	 110.0000	      
    Alpha1F-HW45	1.0009	 -0.0002	92.0000	 110.0000	      
    Alpha2F-HW45	1.0005	 0.0001	92.0000	 110.0000	      
    Alpha3F-HW45	1.0004	 0.0001	92.0000	 110.0000	      
    Alpha4F-HW45	1.0004	 0.0000	92.0000	 110.0000	      
     RGossF-HW45	1.0015	 -0.0019	92.0000	 110.0000	      
   UniformA-HW50	1.0000	 -0.0000	92.0000	 110.0000	      
   UniformF-HW50	1.0000	 -0.0000	92.0000	 110.0000	      
AlphaFiberF-HW50	1.0000	 0.0000	92.0000	 110.0000	      
GammaFiber2F-HW50	1.0000	 -0.0000	92.0000	 110.0000	      
 BetaFiberA-HW50	1.0000	 -0.0000	92.0000	 110.0000	      
     BrassA-HW50	1.0000	 0.0001	92.0000	 110.0000	      
      CubeA-HW50	1.0001	 -0.0000	92.0000	 110.0000	      
    CopperA-HW50	1.0000	 -0.0001	92.0000	 110.0000	      
         SA-HW50	1.0000	 -0.0000	92.0000	 110.0000	      
      GossA-HW50	1.0001	 0.0002	92.0000	 110.0000	      
    Gamma1F-HW50	1.0000	 -0.0000	92.0000	 110.0000	      
    Gamma1F-HW50	1.0000	 -0.0000	92.0000	 110.0000	      
    Gamma2F-HW50	1.0000	 -0.0000	92.0000	 110.0000	      
      GossF-HW50	1.0001	 0.0002	92.0000	 110.0000	      
     ShearF-HW50	1.0001	 -0.0000	92.0000	 110.0000	      
      O554F-HW50	1.0000	 0.0000	92.0000	 110.0000	      
    Alpha1F-HW50	1.0001	 0.0000	92.0000	 110.0000	      
    Alpha2F-HW50	1.0000	 0.0001	92.0000	 110.0000	      
    Alpha3F-HW50	1.0000	 0.0001	92.0000	 110.0000	      
    Alpha4F-HW50	1.0000	 0.0000	92.0000	 110.0000	      
     RGossF-HW50	1.0001	 -0.0003	92.0000	 110.0000	      
