        Name	    TI	   Ent	      	       
    UniformA-HW3	1.0000	 -0.0000	92.0000	 110.0000	      
    UniformF-HW3	1.0000	 -0.0000	92.0000	 110.0000	      
 AlphaFiberF-HW3	154.3620	 -3.7614	92.0000	 110.0000	      
GammaFiber2F-HW3	469.6107	 -5.3425	92.0000	 110.0000	      
  BetaFiberA-HW3	123.6556	 -4.3868	92.0000	 110.0000	      
      BrassA-HW3	683.9086	 -6.1214	92.0000	 110.0000	      
       CubeA-HW3	3449.5680	 -8.1554	92.0000	 110.0000	      
     CopperA-HW3	1282.1251	 -7.6166	92.0000	 110.0000	      
          SA-HW3	342.0600	 -5.4309	92.0000	 110.0000	      
       GossA-HW3	630.5739	 -3.8938	92.0000	 110.0000	      
     Gamma1F-HW3	939.4387	 -6.0299	92.0000	 110.0000	      
     Gamma1F-HW3	939.4387	 -6.0299	92.0000	 110.0000	      
     Gamma2F-HW3	939.0041	 -6.0300	92.0000	 110.0000	      
       GossF-HW3	630.5739	 -3.8938	92.0000	 110.0000	      
      ShearF-HW3	3449.5680	 -8.1554	92.0000	 110.0000	      
       O554F-HW3	842.0870	 -6.0372	92.0000	 110.0000	      
     Alpha1F-HW3	63.1970	 -4.5048	92.0000	 110.0000	      
     Alpha2F-HW3	141.3098	 -3.1362	92.0000	 110.0000	      
     Alpha3F-HW3	144.0565	 -4.5938	92.0000	 110.0000	      
     Alpha4F-HW3	805.8318	 -4.9854	92.0000	 110.0000	      
      RGossF-HW3	630.6261	 -9.6065	92.0000	 110.0000	      
    UniformA-HW5	1.0000	 -0.0000	92.0000	 110.0000	      
    UniformF-HW5	1.0000	 -0.0000	92.0000	 110.0000	      
 AlphaFiberF-HW5	21.4858	 -2.5347	92.0000	 110.0000	      
GammaFiber2F-HW5	47.0792	 -3.4099	92.0000	 110.0000	      
  BetaFiberA-HW5	20.3052	 -2.6807	92.0000	 110.0000	      
      BrassA-HW5	89.1465	 -4.0873	92.0000	 110.0000	      
       CubeA-HW5	257.7956	 -4.7863	92.0000	 110.0000	      
