# Tilt	Rotation	RotationIndex	Omega	Weights	mrd
2.15	0.00	0.00	-85.00	0.00	0.00
2.15	180.00	36.00	85.00	0.00	0.00
2.85	0.00	0.00	90.00	0.00	0.00
2.85	0.00	36.00	90.00	0.00	0.00
2.85	180.00	36.00	-90.00	0.00	0.00
2.85	180.00	0.00	-90.00	0.00	0.00
5.43	246.83	37.00	85.00	0.00	0.00
5.43	66.83	1.00	-85.00	0.00	0.00
5.43	293.17	71.00	-85.00	0.00	0.00
5.43	113.17	35.00	85.00	0.00	0.00
5.75	119.70	1.00	-90.00	0.00	0.00
5.75	240.30	71.00	-90.00	0.00	0.00
5.75	299.70	37.00	90.00	0.00	0.00
5.75	60.30	1.00	90.00	0.00	0.00
5.75	60.30	35.00	90.00	0.00	0.00
5.75	119.70	35.00	-90.00	0.00	0.00
5.75	240.30	37.00	-90.00	0.00	0.00
5.75	299.70	71.00	90.00	0.00	0.00
7.15	0.00	0.00	-80.00	0.00	0.00
7.15	180.00	36.00	80.00	0.00	0.00
7.85	0.00	0.00	85.00	0.00	0.00
7.85	180.00	36.00	-85.00	0.00	0.00
8.71	215.10	37.00	80.00	0.00	0.00
8.71	35.10	1.00	-80.00	0.00	0.00
8.71	324.90	71.00	-80.00	0.00	0.00
8.71	144.90	35.00	80.00	0.00	0.00
9.30	32.59	1.00	85.00	0.00	0.00
9.30	212.59	37.00	-85.00	0.00	0.00
9.30	147.41	35.00	-85.00	0.00	0.00
9.30	327.41	71.00	85.00	0.00	0.00
10.21	78.19	2.00	-85.00	0.00	0.00
10.21	101.81	34.00	85.00	0.00	0.00
10.21	258.19	38.00	85.00	0.00	0.00
10.21	281.81	70.00	-85.00	0.00	0.00
10.39	74.02	34.00	90.00	0.00	0.00
10.39	74.02	2.00	90.00	0.00	0.00
10.39	105.98	2.00	-90.00	0.00	0.00
10.39	105.98	34.00	-90.00	0.00	0.00
10.39	254.02	38.00	-90.00	0.00	0.00
10.39	285.98	38.00	90.00	0.00	0.00
10.39	254.02	70.00	-90.00	0.00	0.00
10.39	285.98	70.00	90.00	0.00	0.00
12.15	0.00	0.00	-75.00	0.00	0.00
12.15	180.00	36.00	75.00	0.00	0.00
12.24	54.90	2.00	-80.00	0.00	0.00
12.24	125.10	34.00	80.00	0.00	0.00
12.24	234.90	38.00	80.00	0.00	0.00
12.24	305.10	70.00	-80.00	0.00	0.00
12.70	52.06	2.00	85.00	0.00	0.00
12.70	127.94	34.00	-85.00	0.00	0.00
12.70	232.06	38.00	-85.00	0.00	0.00
12.70	307.94	70.00	85.00	0.00	0.00
12.85	0.00	0.00	80.00	0.00	0.00
12.85	180.00	36.00	-80.00	0.00	0.00
13.12	22.56	1.00	-75.00	0.00	0.00
13.12	202.56	37.00	75.00	0.00	0.00
13.12	337.44	71.00	-75.00	0.00	0.00
13.12	157.44	35.00	75.00	0.00	0.00
13.78	201.44	37.00	-80.00	0.00	0.00
13.78	21.44	1.00	80.00	0.00	0.00
13.78	158.56	35.00	-80.00	0.00	0.00
13.78	338.56	71.00	80.00	0.00	0.00
15.12	262.37	39.00	85.00	0.00	0.00
15.12	82.37	3.00	-85.00	0.00	0.00
15.12	277.63	69.00	-85.00	0.00	0.00
15.12	97.63	33.00	85.00	0.00	0.00
15.26	259.13	39.00	-90.00	0.00	0.00
15.26	280.87	39.00	90.00	0.00	0.00
15.26	79.13	3.00	90.00	0.00	0.00
15.26	100.87	3.00	-90.00	0.00	0.00
15.26	100.87	33.00	-90.00	0.00	0.00
15.26	259.13	69.00	-90.00	0.00	0.00
15.26	280.87	69.00	90.00	0.00	0.00
15.26	79.13	33.00	90.00	0.00	0.00
15.65	40.01	2.00	-75.00	0.00	0.00
15.65	139.99	34.00	75.00	0.00	0.00
15.65	220.01	38.00	75.00	0.00	0.00
15.65	319.99	70.00	-75.00	0.00	0.00
16.25	38.29	2.00	80.00	0.00	0.00
16.25	141.71	34.00	-80.00	0.00	0.00
16.25	218.29	38.00	-80.00	0.00	0.00
16.25	321.71	70.00	80.00	0.00	0.00
16.52	245.35	39.00	80.00	0.00	0.00
16.52	65.35	3.00	-80.00	0.00	0.00
16.52	294.65	69.00	-80.00	0.00	0.00
16.52	114.65	33.00	80.00	0.00	0.00
16.92	242.68	39.00	-85.00	0.00	0.00
16.92	62.68	3.00	85.00	0.00	0.00
16.92	117.32	33.00	-85.00	0.00	0.00
16.92	297.32	69.00	85.00	0.00	0.00
17.15	0.00	0.00	-70.00	0.00	0.00
17.15	180.00	36.00	70.00	0.00	0.00
17.83	16.51	1.00	-70.00	0.00	0.00
17.83	196.51	37.00	70.00	0.00	0.00
17.83	343.49	71.00	-70.00	0.00	0.00
17.83	163.49	35.00	70.00	0.00	0.00
17.85	0.00	0.00	75.00	0.00	0.00
17.85	180.00	36.00	-75.00	0.00	0.00
