# Tilt	Rotation	RotationIndex	Omega	Weights	mrd
18.52	15.91	1.00	75.00	0.00	0.00
18.52	164.09	35.00	-75.00	0.00	0.00
18.52	195.91	37.00	-75.00	0.00	0.00
18.52	344.09	71.00	75.00	0.00	0.00
19.14	232.03	39.00	75.00	0.00	0.00
19.14	52.03	3.00	-75.00	0.00	0.00
19.14	307.97	69.00	-75.00	0.00	0.00
19.14	127.97	33.00	75.00	0.00	0.00
19.70	50.06	3.00	80.00	0.00	0.00
19.70	230.06	39.00	-80.00	0.00	0.00
19.70	309.94	69.00	80.00	0.00	0.00
19.70	129.94	33.00	-80.00	0.00	0.00
19.74	30.90	2.00	-70.00	0.00	0.00
19.74	149.10	34.00	70.00	0.00	0.00
19.74	210.90	38.00	70.00	0.00	0.00
19.74	329.10	70.00	-70.00	0.00	0.00
20.07	275.41	68.00	-85.00	0.00	0.00
20.07	84.59	4.00	-85.00	0.00	0.00
20.07	264.59	40.00	85.00	0.00	0.00
20.07	95.41	32.00	85.00	0.00	0.00
20.19	261.73	68.00	-90.00	0.00	0.00
20.19	278.27	68.00	90.00	0.00	0.00
20.19	98.27	4.00	-90.00	0.00	0.00
20.19	278.27	40.00	90.00	0.00	0.00
20.19	81.73	4.00	90.00	0.00	0.00
20.19	81.73	32.00	90.00	0.00	0.00
20.19	98.27	32.00	-90.00	0.00	0.00
20.19	261.73	40.00	-90.00	0.00	0.00
20.41	29.82	2.00	75.00	0.00	0.00
20.41	150.18	34.00	-75.00	0.00	0.00
20.41	209.82	38.00	-75.00	0.00	0.00
20.41	330.18	70.00	75.00	0.00	0.00
21.11	71.53	4.00	-80.00	0.00	0.00
21.11	251.53	40.00	80.00	0.00	0.00
21.11	288.47	68.00	-80.00	0.00	0.00
21.11	108.47	32.00	80.00	0.00	0.00
21.47	68.98	4.00	85.00	0.00	0.00
21.47	111.02	32.00	-85.00	0.00	0.00
21.47	248.98	40.00	-85.00	0.00	0.00
21.47	291.02	68.00	85.00	0.00	0.00
22.15	0.00	0.00	-65.00	0.00	0.00
22.15	180.00	36.00	65.00	0.00	0.00
22.55	222.38	39.00	70.00	0.00	0.00
22.55	42.38	3.00	-70.00	0.00	0.00
22.55	317.62	69.00	-70.00	0.00	0.00
22.55	137.62	33.00	70.00	0.00	0.00
22.67	13.05	1.00	-65.00	0.00	0.00
22.67	193.05	37.00	65.00	0.00	0.00
22.67	346.95	71.00	-65.00	0.00	0.00
22.67	166.95	35.00	65.00	0.00	0.00
22.85	0.00	0.00	70.00	0.00	0.00
22.85	180.00	36.00	-70.00	0.00	0.00
23.16	60.29	4.00	-75.00	0.00	0.00
23.16	240.29	40.00	75.00	0.00	0.00
23.16	299.71	68.00	-75.00	0.00	0.00
23.16	119.71	32.00	75.00	0.00	0.00
23.22	40.97	3.00	75.00	0.00	0.00
23.22	139.03	33.00	-75.00	0.00	0.00
23.22	220.97	39.00	-75.00	0.00	0.00
23.22	319.03	69.00	75.00	0.00	0.00
23.37	12.68	1.00	70.00	0.00	0.00
23.37	192.68	37.00	-70.00	0.00	0.00
23.37	347.32	71.00	70.00	0.00	0.00
23.37	167.32	35.00	-70.00	0.00	0.00
23.70	58.19	4.00	80.00	0.00	0.00
23.70	238.19	40.00	-80.00	0.00	0.00
23.70	301.81	68.00	80.00	0.00	0.00
23.70	121.81	32.00	-80.00	0.00	0.00
24.16	25.07	2.00	-65.00	0.00	0.00
24.16	154.93	34.00	65.00	0.00	0.00
24.16	205.07	38.00	65.00	0.00	0.00
24.16	334.93	70.00	-65.00	0.00	0.00
24.87	24.36	2.00	70.00	0.00	0.00
24.87	155.64	34.00	-70.00	0.00	0.00
24.87	204.36	38.00	-70.00	0.00	0.00
24.87	335.64	70.00	70.00	0.00	0.00
25.03	266.01	41.00	85.00	0.00	0.00
25.03	86.01	5.00	-85.00	0.00	0.00
25.03	93.99	31.00	85.00	0.00	0.00
25.03	273.99	67.00	-85.00	0.00	0.00
25.15	263.29	41.00	-90.00	0.00	0.00
25.15	276.71	41.00	90.00	0.00	0.00
25.15	83.29	31.00	90.00	0.00	0.00
25.15	96.71	5.00	-90.00	0.00	0.00
25.15	83.29	5.00	90.00	0.00	0.00
25.15	96.71	31.00	-90.00	0.00	0.00
25.15	263.29	67.00	-90.00	0.00	0.00
25.15	276.71	67.00	90.00	0.00	0.00
25.83	255.61	41.00	80.00	0.00	0.00
25.83	75.61	5.00	-80.00	0.00	0.00
25.83	104.39	31.00	80.00	0.00	0.00
25.83	284.39	67.00	-80.00	0.00	0.00
25.98	51.23	4.00	-70.00	0.00	0.00
25.98	231.23	40.00	70.00	0.00	0.00
25.98	308.77	68.00	-70.00	0.00	0.00
25.98	128.77	32.00	70.00	0.00	0.00
26.18	253.09	41.00	-85.00	0.00	0.00
26.18	73.09	5.00	85.00	0.00	0.00
26.18	106.91	31.00	-85.00	0.00	0.00
26.18	286.91	67.00	85.00	0.00	0.00
26.45	215.48	39.00	65.00	0.00	0.00
26.45	35.48	3.00	-65.00	0.00	0.00
26.45	324.52	69.00	-65.00	0.00	0.00
26.45	144.52	33.00	65.00	0.00	0.00
26.66	49.59	4.00	75.00	0.00	0.00
26.66	130.41	32.00	-75.00	0.00	0.00
26.66	229.59	40.00	-75.00	0.00	0.00
26.66	310.41	68.00	75.00	0.00	0.00
27.15	0.00	0.00	-60.00	0.00	0.00
27.15	180.00	36.00	60.00	0.00	0.00
27.18	34.46	3.00	70.00	0.00	0.00
27.18	214.46	39.00	-70.00	0.00	0.00
27.18	325.54	69.00	70.00	0.00	0.00
27.18	145.54	33.00	-70.00	0.00	0.00
27.48	66.18	5.00	-75.00	0.00	0.00
27.48	246.18	41.00	75.00	0.00	0.00
27.48	113.82	31.00	75.00	0.00	0.00
27.48	293.82	67.00	-75.00	0.00	0.00
27.56	10.84	1.00	-60.00	0.00	0.00
27.56	190.84	37.00	60.00	0.00	0.00
27.56	349.16	71.00	-60.00	0.00	0.00
27.56	169.16	35.00	60.00	0.00	0.00
27.85	0.00	0.00	65.00	0.00	0.00
27.85	180.00	36.00	-65.00	0.00	0.00
28.02	243.98	41.00	-80.00	0.00	0.00
28.02	63.98	5.00	80.00	0.00	0.00
28.02	116.02	31.00	-80.00	0.00	0.00
28.02	296.02	67.00	80.00	0.00	0.00
28.27	190.59	37.00	-65.00	0.00	0.00
28.27	10.59	1.00	65.00	0.00	0.00
28.27	169.41	35.00	-65.00	0.00	0.00
28.27	349.41	71.00	65.00	0.00	0.00
28.76	21.13	2.00	-60.00	0.00	0.00
28.76	158.87	34.00	60.00	0.00	0.00
28.76	201.13	38.00	60.00	0.00	0.00
28.76	338.87	70.00	-60.00	0.00	0.00
29.36	224.17	40.00	65.00	0.00	0.00
29.36	315.83	68.00	-65.00	0.00	0.00
29.36	44.17	4.00	-65.00	0.00	0.00
29.36	135.83	32.00	65.00	0.00	0.00
29.49	20.63	2.00	65.00	0.00	0.00
29.49	159.37	34.00	-65.00	0.00	0.00
29.49	200.63	38.00	-65.00	0.00	0.00
29.49	339.37	70.00	65.00	0.00	0.00
29.82	238.08	41.00	70.00	0.00	0.00
29.82	58.08	5.00	-70.00	0.00	0.00
29.82	121.92	31.00	70.00	0.00	0.00
29.82	301.92	67.00	-70.00	0.00	0.00
30.00	87.03	6.00	-85.00	0.00	0.00
30.00	92.97	30.00	85.00	0.00	0.00
30.00	267.03	42.00	85.00	0.00	0.00
30.00	272.97	66.00	-85.00	0.00	0.00
30.12	84.32	30.00	90.00	0.00	0.00
30.12	95.68	6.00	-90.00	0.00	0.00
30.12	275.68	42.00	90.00	0.00	0.00
30.12	84.32	6.00	90.00	0.00	0.00
30.12	95.68	30.00	-90.00	0.00	0.00
30.12	264.32	42.00	-90.00	0.00	0.00
30.12	264.32	66.00	-90.00	0.00	0.00
30.12	275.68	66.00	90.00	0.00	0.00
30.12	42.90	4.00	70.00	0.00	0.00
30.12	222.90	40.00	-70.00	0.00	0.00
30.12	317.10	68.00	70.00	0.00	0.00
30.12	137.10	32.00	-70.00	0.00	0.00
30.52	56.23	5.00	75.00	0.00	0.00
30.52	123.77	31.00	-75.00	0.00	0.00
30.52	236.23	41.00	-75.00	0.00	0.00
30.52	303.77	67.00	75.00	0.00	0.00
30.63	78.53	6.00	-80.00	0.00	0.00
30.63	101.47	30.00	80.00	0.00	0.00
30.63	258.53	42.00	80.00	0.00	0.00
30.63	281.47	66.00	-80.00	0.00	0.00
30.65	210.47	39.00	60.00	0.00	0.00
30.65	30.47	3.00	-60.00	0.00	0.00
30.65	329.53	69.00	-60.00	0.00	0.00
30.65	149.53	33.00	60.00	0.00	0.00
30.98	75.96	6.00	85.00	0.00	0.00
30.98	104.04	30.00	-85.00	0.00	0.00
30.98	255.96	42.00	-85.00	0.00	0.00
30.98	284.04	66.00	85.00	0.00	0.00
31.42	29.73	3.00	65.00	0.00	0.00
31.42	150.27	33.00	-65.00	0.00	0.00
31.42	209.73	39.00	-65.00	0.00	0.00
31.42	330.27	69.00	65.00	0.00	0.00
31.97	70.60	6.00	-75.00	0.00	0.00
31.97	109.40	30.00	75.00	0.00	0.00
31.97	250.60	42.00	75.00	0.00	0.00
31.97	289.40	66.00	-75.00	0.00	0.00
32.15	0.00	0.00	-55.00	0.00	0.00
32.15	180.00	36.00	55.00	0.00	0.00
32.49	9.33	1.00	-55.00	0.00	0.00
32.49	170.67	35.00	55.00	0.00	0.00
32.49	189.33	37.00	55.00	0.00	0.00
32.49	350.67	71.00	-55.00	0.00	0.00
32.52	68.26	6.00	80.00	0.00	0.00
32.52	111.74	30.00	-80.00	0.00	0.00
32.52	248.26	42.00	-80.00	0.00	0.00
32.52	291.74	66.00	80.00	0.00	0.00
32.72	231.35	41.00	65.00	0.00	0.00
32.72	51.35	5.00	-65.00	0.00	0.00
32.72	128.65	31.00	65.00	0.00	0.00
32.72	308.65	67.00	-65.00	0.00	0.00
32.85	0.00	0.00	60.00	0.00	0.00
32.85	180.00	36.00	-60.00	0.00	0.00
33.11	321.29	68.00	-60.00	0.00	0.00
33.11	38.71	4.00	-60.00	0.00	0.00
33.11	218.71	40.00	60.00	0.00	0.00
33.11	141.29	32.00	60.00	0.00	0.00
33.19	9.15	1.00	60.00	0.00	0.00
33.19	170.85	35.00	-60.00	0.00	0.00
33.19	189.15	37.00	-60.00	0.00	0.00
33.19	350.85	71.00	60.00	0.00	0.00
33.47	18.33	2.00	-55.00	0.00	0.00
33.47	161.67	34.00	55.00	0.00	0.00
33.47	198.33	38.00	55.00	0.00	0.00
33.47	341.67	70.00	-55.00	0.00	0.00
33.53	49.84	5.00	70.00	0.00	0.00
33.53	130.16	31.00	-70.00	0.00	0.00
33.53	229.84	41.00	-70.00	0.00	0.00
33.53	310.16	67.00	70.00	0.00	0.00
33.92	63.48	6.00	-70.00	0.00	0.00
33.92	116.52	30.00	70.00	0.00	0.00
33.92	243.48	42.00	70.00	0.00	0.00
33.92	296.52	66.00	-70.00	0.00	0.00
33.94	37.72	4.00	65.00	0.00	0.00
33.94	142.28	32.00	-65.00	0.00	0.00
33.94	217.72	40.00	-65.00	0.00	0.00
33.94	322.28	68.00	65.00	0.00	0.00
34.21	17.97	2.00	60.00	0.00	0.00
34.21	162.03	34.00	-60.00	0.00	0.00
34.21	197.97	38.00	-60.00	0.00	0.00
34.21	342.03	70.00	60.00	0.00	0.00
34.65	61.44	6.00	75.00	0.00	0.00
34.65	118.56	30.00	-75.00	0.00	0.00
34.65	241.44	42.00	-75.00	0.00	0.00
34.65	298.56	66.00	75.00	0.00	0.00
34.98	267.82	43.00	85.00	0.00	0.00
34.98	87.82	7.00	-85.00	0.00	0.00
34.98	92.18	29.00	85.00	0.00	0.00
34.98	272.18	65.00	-85.00	0.00	0.00
35.04	206.76	39.00	55.00	0.00	0.00
35.04	26.76	3.00	-55.00	0.00	0.00
35.04	333.24	69.00	-55.00	0.00	0.00
35.04	153.24	33.00	55.00	0.00	0.00
35.10	265.05	43.00	-90.00	0.00	0.00
35.10	274.95	43.00	90.00	0.00	0.00
35.10	85.05	7.00	90.00	0.00	0.00
35.10	94.95	7.00	-90.00	0.00	0.00
35.10	94.95	29.00	-90.00	0.00	0.00
35.10	274.95	65.00	90.00	0.00	0.00
35.10	85.05	29.00	90.00	0.00	0.00
35.10	265.05	65.00	-90.00	0.00	0.00
35.48	260.76	43.00	80.00	0.00	0.00
35.48	80.76	7.00	-80.00	0.00	0.00
35.48	99.24	29.00	80.00	0.00	0.00
35.48	279.24	65.00	-80.00	0.00	0.00
35.84	78.10	7.00	85.00	0.00	0.00
35.84	258.10	43.00	-85.00	0.00	0.00
35.84	101.90	29.00	-85.00	0.00	0.00
35.84	281.90	65.00	85.00	0.00	0.00
35.84	26.20	3.00	60.00	0.00	0.00
35.84	153.80	33.00	-60.00	0.00	0.00
35.84	206.20	39.00	-60.00	0.00	0.00
35.84	333.80	69.00	60.00	0.00	0.00
36.03	45.86	5.00	-60.00	0.00	0.00
36.03	225.86	41.00	60.00	0.00	0.00
36.03	134.14	31.00	60.00	0.00	0.00
36.03	314.14	67.00	-60.00	0.00	0.00
36.40	57.30	6.00	-65.00	0.00	0.00
36.40	122.70	30.00	65.00	0.00	0.00
36.40	237.30	42.00	65.00	0.00	0.00
36.40	302.70	66.00	-65.00	0.00	0.00
36.57	254.04	43.00	75.00	0.00	0.00
36.57	74.04	7.00	-75.00	0.00	0.00
36.57	105.96	29.00	75.00	0.00	0.00
36.57	285.96	65.00	-75.00	0.00	0.00
36.93	44.63	5.00	65.00	0.00	0.00
36.93	224.63	41.00	-65.00	0.00	0.00
36.93	135.37	31.00	-65.00	0.00	0.00
36.93	315.37	67.00	65.00	0.00	0.00
37.13	325.53	68.00	-55.00	0.00	0.00
37.13	34.47	4.00	-55.00	0.00	0.00
37.13	145.53	32.00	55.00	0.00	0.00
37.13	214.47	40.00	55.00	0.00	0.00
37.15	71.56	7.00	80.00	0.00	0.00
37.15	251.56	43.00	-80.00	0.00	0.00
37.15	108.44	29.00	-80.00	0.00	0.00
37.15	288.44	65.00	80.00	0.00	0.00
37.15	0.00	0.00	-50.00	0.00	0.00
37.15	180.00	36.00	50.00	0.00	0.00
37.27	55.56	6.00	70.00	0.00	0.00
37.27	124.44	30.00	-70.00	0.00	0.00
37.27	235.56	42.00	-70.00	0.00	0.00
37.27	304.44	66.00	70.00	0.00	0.00
37.43	8.23	1.00	-50.00	0.00	0.00
37.43	188.23	37.00	50.00	0.00	0.00
37.43	171.77	35.00	50.00	0.00	0.00
37.43	351.77	71.00	-50.00	0.00	0.00
37.85	0.00	0.00	55.00	0.00	0.00
37.85	180.00	36.00	-55.00	0.00	0.00
38.00	33.70	4.00	60.00	0.00	0.00
38.00	146.30	32.00	-60.00	0.00	0.00
38.00	213.70	40.00	-60.00	0.00	0.00
38.00	326.30	68.00	60.00	0.00	0.00
38.14	8.10	1.00	55.00	0.00	0.00
38.14	171.90	35.00	-55.00	0.00	0.00
38.14	188.10	37.00	-55.00	0.00	0.00
38.14	351.90	71.00	55.00	0.00	0.00
38.21	247.85	43.00	70.00	0.00	0.00
38.21	67.85	7.00	-70.00	0.00	0.00
38.21	112.15	29.00	70.00	0.00	0.00
38.21	292.15	65.00	-70.00	0.00	0.00
38.24	16.27	2.00	-50.00	0.00	0.00
38.24	163.73	34.00	50.00	0.00	0.00
38.24	196.27	38.00	50.00	0.00	0.00
38.24	343.73	70.00	-50.00	0.00	0.00
38.98	245.61	43.00	-75.00	0.00	0.00
38.98	65.61	7.00	75.00	0.00	0.00
38.98	114.39	29.00	-75.00	0.00	0.00
38.98	294.39	65.00	75.00	0.00	0.00
38.99	16.00	2.00	55.00	0.00	0.00
38.99	164.00	34.00	-55.00	0.00	0.00
38.99	196.00	38.00	-55.00	0.00	0.00
38.99	344.00	70.00	55.00	0.00	0.00
39.29	52.05	6.00	-60.00	0.00	0.00
39.29	127.95	30.00	60.00	0.00	0.00
39.29	232.05	42.00	60.00	0.00	0.00
39.29	307.95	66.00	-60.00	0.00	0.00
39.56	203.95	39.00	50.00	0.00	0.00
39.56	336.05	69.00	-50.00	0.00	0.00
39.56	23.95	3.00	-50.00	0.00	0.00
39.56	156.05	33.00	50.00	0.00	0.00
39.65	41.42	5.00	-55.00	0.00	0.00
39.65	138.58	31.00	55.00	0.00	0.00
39.65	221.42	41.00	55.00	0.00	0.00
39.65	318.58	67.00	-55.00	0.00	0.00
39.96	88.46	8.00	-85.00	0.00	0.00
39.96	268.46	44.00	85.00	0.00	0.00
39.96	91.54	28.00	85.00	0.00	0.00
39.96	271.54	64.00	-85.00	0.00	0.00
40.08	85.58	8.00	90.00	0.00	0.00
40.08	94.42	8.00	-90.00	0.00	0.00
40.08	94.42	28.00	-90.00	0.00	0.00
40.08	265.58	44.00	-90.00	0.00	0.00
40.08	274.42	44.00	90.00	0.00	0.00
40.08	85.58	28.00	90.00	0.00	0.00
40.08	265.58	64.00	-90.00	0.00	0.00
40.08	274.42	64.00	90.00	0.00	0.00
40.28	50.58	6.00	65.00	0.00	0.00
40.28	129.42	30.00	-65.00	0.00	0.00
40.28	230.58	42.00	-65.00	0.00	0.00
40.28	309.42	66.00	65.00	0.00	0.00
40.32	242.30	43.00	65.00	0.00	0.00
40.32	62.30	7.00	-65.00	0.00	0.00
40.32	117.70	29.00	65.00	0.00	0.00
40.32	297.70	65.00	-65.00	0.00	0.00
40.35	82.55	8.00	-80.00	0.00	0.00
40.35	262.55	44.00	80.00	0.00	0.00
40.35	97.45	28.00	80.00	0.00	0.00
40.35	277.45	64.00	-80.00	0.00	0.00
40.38	203.52	39.00	-55.00	0.00	0.00
40.38	23.52	3.00	55.00	0.00	0.00
40.38	156.48	33.00	-55.00	0.00	0.00
40.38	336.48	69.00	55.00	0.00	0.00
40.62	40.42	5.00	60.00	0.00	0.00
40.62	139.58	31.00	-60.00	0.00	0.00
40.62	220.42	41.00	-60.00	0.00	0.00
40.62	319.58	67.00	60.00	0.00	0.00
40.72	79.74	8.00	85.00	0.00	0.00
40.72	100.26	28.00	-85.00	0.00	0.00
40.72	259.74	44.00	-85.00	0.00	0.00
40.72	280.26	64.00	85.00	0.00	0.00
41.25	76.84	8.00	-75.00	0.00	0.00
41.25	256.84	44.00	75.00	0.00	0.00
41.25	103.16	28.00	75.00	0.00	0.00
41.25	283.16	64.00	-75.00	0.00	0.00
41.25	60.32	7.00	70.00	0.00	0.00
41.25	119.68	29.00	-70.00	0.00	0.00
41.25	240.32	43.00	-70.00	0.00	0.00
41.25	299.68	65.00	70.00	0.00	0.00
41.33	211.15	40.00	50.00	0.00	0.00
41.33	328.85	68.00	-50.00	0.00	0.00
41.33	31.15	4.00	-50.00	0.00	0.00
41.33	148.85	32.00	50.00	0.00	0.00
41.85	74.19	8.00	80.00	0.00	0.00
41.85	254.19	44.00	-80.00	0.00	0.00
41.85	105.81	28.00	-80.00	0.00	0.00
41.85	285.81	64.00	80.00	0.00	0.00
42.15	0.00	0.00	-45.00	0.00	0.00
42.15	180.00	36.00	45.00	0.00	0.00
42.24	30.54	4.00	55.00	0.00	0.00
42.24	149.46	32.00	-55.00	0.00	0.00
42.24	210.54	40.00	-55.00	0.00	0.00
42.24	329.46	68.00	55.00	0.00	0.00
42.38	187.42	37.00	45.00	0.00	0.00
42.38	7.42	1.00	-45.00	0.00	0.00
42.38	172.58	35.00	45.00	0.00	0.00
42.38	352.58	71.00	-45.00	0.00	0.00
42.52	47.63	6.00	-55.00	0.00	0.00
42.52	132.37	30.00	55.00	0.00	0.00
42.52	227.63	42.00	55.00	0.00	0.00
42.52	312.37	66.00	-55.00	0.00	0.00
42.61	71.48	8.00	-70.00	0.00	0.00
42.61	251.48	44.00	70.00	0.00	0.00
42.61	108.52	28.00	70.00	0.00	0.00
42.61	288.52	64.00	-70.00	0.00	0.00
42.83	237.42	43.00	60.00	0.00	0.00
42.83	57.42	7.00	-60.00	0.00	0.00
42.83	122.58	29.00	60.00	0.00	0.00
42.83	302.58	65.00	-60.00	0.00	0.00
42.85	0.00	0.00	50.00	0.00	0.00
42.85	180.00	36.00	-50.00	0.00	0.00
43.06	14.71	2.00	-45.00	0.00	0.00
43.06	165.29	34.00	45.00	0.00	0.00
43.06	194.71	38.00	45.00	0.00	0.00
43.06	345.29	70.00	-45.00	0.00	0.00
43.09	187.32	37.00	-50.00	0.00	0.00
43.09	7.32	1.00	50.00	0.00	0.00
43.09	172.68	35.00	-50.00	0.00	0.00
43.09	352.68	71.00	50.00	0.00	0.00
43.43	69.04	8.00	75.00	0.00	0.00
43.43	110.96	28.00	-75.00	0.00	0.00
43.43	249.04	44.00	-75.00	0.00	0.00
43.43	290.96	64.00	75.00	0.00	0.00
43.50	37.82	5.00	-50.00	0.00	0.00
43.50	142.18	31.00	50.00	0.00	0.00
43.50	217.82	41.00	50.00	0.00	0.00
43.50	322.18	67.00	-50.00	0.00	0.00
43.59	46.40	6.00	60.00	0.00	0.00
43.59	133.60	30.00	-60.00	0.00	0.00
43.59	226.40	42.00	-60.00	0.00	0.00
43.59	313.60	66.00	60.00	0.00	0.00
43.82	14.51	2.00	50.00	0.00	0.00
43.82	165.49	34.00	-50.00	0.00	0.00
43.82	194.51	38.00	-50.00	0.00	0.00
43.82	345.49	70.00	50.00	0.00	0.00
43.90	55.70	7.00	65.00	0.00	0.00
43.90	235.70	43.00	-65.00	0.00	0.00
43.90	124.30	29.00	-65.00	0.00	0.00
43.90	304.30	65.00	65.00	0.00	0.00
44.17	201.78	39.00	45.00	0.00	0.00
44.17	21.78	3.00	-45.00	0.00	0.00
44.17	338.22	69.00	-45.00	0.00	0.00
44.17	158.22	33.00	45.00	0.00	0.00
44.41	66.56	8.00	-65.00	0.00	0.00
44.41	246.56	44.00	65.00	0.00	0.00
44.41	113.44	28.00	65.00	0.00	0.00
44.41	293.44	64.00	-65.00	0.00	0.00
44.52	37.01	5.00	55.00	0.00	0.00
44.52	142.99	31.00	-55.00	0.00	0.00
44.52	217.01	41.00	-55.00	0.00	0.00
44.52	322.99	67.00	55.00	0.00	0.00
44.94	269.02	45.00	85.00	0.00	0.00
44.94	89.02	9.00	-85.00	0.00	0.00
44.94	90.98	27.00	85.00	0.00	0.00
44.94	270.98	63.00	-85.00	0.00	0.00
45.00	201.44	39.00	-50.00	0.00	0.00
45.00	21.44	3.00	50.00	0.00	0.00
45.00	158.56	33.00	-50.00	0.00	0.00
45.00	338.56	69.00	50.00	0.00	0.00
45.07	85.98	9.00	90.00	0.00	0.00
45.07	265.98	45.00	-90.00	0.00	0.00
45.07	94.02	9.00	-90.00	0.00	0.00
45.07	274.02	45.00	90.00	0.00	0.00
45.07	85.98	27.00	90.00	0.00	0.00
45.07	94.02	27.00	-90.00	0.00	0.00
45.07	265.98	63.00	-90.00	0.00	0.00
45.07	274.02	63.00	90.00	0.00	0.00
45.24	84.04	9.00	-80.00	0.00	0.00
45.24	264.04	45.00	80.00	0.00	0.00
