# Tilt	Rotation	RotationIndex	Omega	Weights	mrd
27.15	0.00	0.00	-60.00	0.00	0.00
27.15	180.00	36.00	60.00	0.00	0.00
27.56	10.84	1.00	-60.00	0.00	0.00
27.56	190.84	37.00	60.00	0.00	0.00
27.56	349.16	71.00	-60.00	0.00	0.00
27.56	169.16	35.00	60.00	0.00	0.00
28.76	21.13	2.00	-60.00	0.00	0.00
28.76	158.87	34.00	60.00	0.00	0.00
28.76	201.13	38.00	60.00	0.00	0.00
28.76	338.87	70.00	-60.00	0.00	0.00
30.65	210.47	39.00	60.00	0.00	0.00
30.65	30.47	3.00	-60.00	0.00	0.00
30.65	329.53	69.00	-60.00	0.00	0.00
30.65	149.53	33.00	60.00	0.00	0.00
32.15	0.00	0.00	-55.00	0.00	0.00
32.15	180.00	36.00	55.00	0.00	0.00
32.49	9.33	1.00	-55.00	0.00	0.00
32.49	170.67	35.00	55.00	0.00	0.00
32.49	189.33	37.00	55.00	0.00	0.00
32.49	350.67	71.00	-55.00	0.00	0.00
32.85	0.00	0.00	60.00	0.00	0.00
32.85	180.00	36.00	-60.00	0.00	0.00
33.11	321.29	68.00	-60.00	0.00	0.00
33.11	38.71	4.00	-60.00	0.00	0.00
33.11	218.71	40.00	60.00	0.00	0.00
33.11	141.29	32.00	60.00	0.00	0.00
33.19	9.15	1.00	60.00	0.00	0.00
33.19	170.85	35.00	-60.00	0.00	0.00
33.19	189.15	37.00	-60.00	0.00	0.00
33.19	350.85	71.00	60.00	0.00	0.00
33.47	18.33	2.00	-55.00	0.00	0.00
33.47	161.67	34.00	55.00	0.00	0.00
33.47	198.33	38.00	55.00	0.00	0.00
33.47	341.67	70.00	-55.00	0.00	0.00
34.21	17.97	2.00	60.00	0.00	0.00
34.21	162.03	34.00	-60.00	0.00	0.00
34.21	197.97	38.00	-60.00	0.00	0.00
34.21	342.03	70.00	60.00	0.00	0.00
35.04	206.76	39.00	55.00	0.00	0.00
35.04	26.76	3.00	-55.00	0.00	0.00
35.04	333.24	69.00	-55.00	0.00	0.00
35.04	153.24	33.00	55.00	0.00	0.00
35.84	26.20	3.00	60.00	0.00	0.00
35.84	153.80	33.00	-60.00	0.00	0.00
35.84	206.20	39.00	-60.00	0.00	0.00
35.84	333.80	69.00	60.00	0.00	0.00
36.03	45.86	5.00	-60.00	0.00	0.00
36.03	225.86	41.00	60.00	0.00	0.00
36.03	134.14	31.00	60.00	0.00	0.00
36.03	314.14	67.00	-60.00	0.00	0.00
37.13	325.53	68.00	-55.00	0.00	0.00
37.13	34.47	4.00	-55.00	0.00	0.00
37.13	145.53	32.00	55.00	0.00	0.00
37.13	214.47	40.00	55.00	0.00	0.00
37.15	0.00	0.00	-50.00	0.00	0.00
37.15	180.00	36.00	50.00	0.00	0.00
37.43	8.23	1.00	-50.00	0.00	0.00
37.43	188.23	37.00	50.00	0.00	0.00
37.43	171.77	35.00	50.00	0.00	0.00
37.43	351.77	71.00	-50.00	0.00	0.00
37.85	0.00	0.00	55.00	0.00	0.00
37.85	180.00	36.00	-55.00	0.00	0.00
38.00	33.70	4.00	60.00	0.00	0.00
38.00	146.30	32.00	-60.00	0.00	0.00
38.00	213.70	40.00	-60.00	0.00	0.00
38.00	326.30	68.00	60.00	0.00	0.00
38.14	8.10	1.00	55.00	0.00	0.00
38.14	171.90	35.00	-55.00	0.00	0.00
38.14	188.10	37.00	-55.00	0.00	0.00
