        Name	    TI	   Ent
UniformA-HW10	1.0000	 -0.0000
UniformF-HW10	1.0000	 -0.0000
AlphaFiberF-HW10	5.4186	 -1.2678
GammaFiber2F-HW10	6.2655	 -1.5234
BetaFiberA-HW10	4.6086	 -1.2628
 BrassA-HW10	11.5259	 -2.0095
  CubeA-HW10	23.0517	 -2.6682
CopperA-HW10	11.5259	 -2.1617
     SA-HW10	5.8307	 -1.3793
  GossA-HW10	23.0517	 -2.4635
Gamma1F-HW10	11.5259	 -2.0170
Gamma1F-HW10	11.5259	 -2.0170
Gamma2F-HW10	11.5259	 -2.0504
  GossF-HW10	23.0517	 -2.4635
 ShearF-HW10	23.0517	 -2.6636
  o554F-HW10	11.5260	 -2.0286
alpha1F-HW10	11.8831	 -1.9120
alpha2F-HW10	11.5274	 -1.8113
alpha3F-HW10	11.5259	 -1.8496
alpha4F-HW10	11.5259	 -1.9307
 RGossF-HW10	23.0517	 -2.8916
UniformA-HW15	1.0000	 -0.0000
UniformF-HW15	1.0000	 -0.0000
AlphaFiberF-HW15	2.3570	 -0.5307
GammaFiber2F-HW15	2.6226	 -0.7016
BetaFiberA-HW15	2.1496	 -0.5383
 BrassA-HW15	3.5150	 -0.8758
  CubeA-HW15	6.9714	 -1.5060
CopperA-HW15	3.5150	 -0.9319
     SA-HW15	2.1354	 -0.5210
  GossA-HW15	6.9714	 -1.4272
Gamma1F-HW15	3.5150	 -0.8758
Gamma1F-HW15	3.5150	 -0.8758
Gamma2F-HW15	3.5150	 -0.8991
  GossF-HW15	6.9714	 -1.4272
 ShearF-HW15	6.9714	 -1.5008
  o554F-HW15	3.5222	 -0.8937
alpha1F-HW15	4.2307	 -1.0267
alpha2F-HW15	3.5657	 -0.8398
alpha3F-HW15	3.5150	 -0.8233
alpha4F-HW15	3.5148	 -0.8499
 RGossF-HW15	6.9714	 -1.6008
UniformA-HW20	1.0000	 -0.0000
UniformF-HW20	1.0000	 -0.0000
AlphaFiberF-HW20	1.4298	 -0.1765
GammaFiber2F-HW20	1.5678	 -0.2724
BetaFiberA-HW20	1.3827	 -0.1875
 BrassA-HW20	1.7010	 -0.3093
  CubeA-HW20	3.0381	 -0.7367
CopperA-HW20	1.7010	 -0.3375
     SA-HW20	1.3412	 -0.1649
  GossA-HW20	3.0381	 -0.7001
Gamma1F-HW20	1.7010	 -0.3157
Gamma1F-HW20	1.7010	 -0.3157
Gamma2F-HW20	1.7010	 -0.3234
  GossF-HW20	3.0381	 -0.7001
 ShearF-HW20	3.0381	 -0.7330
  o554F-HW20	1.7191	 -0.3249
alpha1F-HW20	2.1901	 -0.4675
alpha2F-HW20	1.7793	 -0.3235
alpha3F-HW20	1.7010	 -0.2936
alpha4F-HW20	1.7070	 -0.3064
 RGossF-HW20	3.0381	 -0.7830
UniformA-HW25	1.0000	 -0.0000
UniformF-HW25	1.0000	 -0.0000
AlphaFiberF-HW25	1.1338	 0.0100
GammaFiber2F-HW25	1.1875	 -0.0345
BetaFiberA-HW25	1.1233	 0.0044
 BrassA-HW25	1.2032	 -0.0390
  CubeA-HW25	1.6993	 -0.2719
CopperA-HW25	1.2032	 -0.0537
     SA-HW25	1.1030	 0.0174
  GossA-HW25	1.6993	 -0.2532
Gamma1F-HW25	1.2032	 -0.0457
Gamma1F-HW25	1.2032	 -0.0457
Gamma2F-HW25	1.2032	 -0.0465
  GossF-HW25	1.6993	 -0.2532
 ShearF-HW25	1.6993	 -0.2698
  o554F-HW25	1.2151	 -0.0481
alpha1F-HW25	1.4221	 -0.1354
alpha2F-HW25	1.2485	 -0.0552
alpha3F-HW25	1.2032	 -0.0349
alpha4F-HW25	1.2085	 -0.0413
 RGossF-HW25	1.6993	 -0.2966
UniformA-HW30	1.0000	 -0.0000
UniformF-HW30	1.0000	 -0.0000
AlphaFiberF-HW30	1.0394	 0.1446
GammaFiber2F-HW30	1.0566	 0.1249
BetaFiberA-HW30	1.0369	 0.1424
 BrassA-HW30	1.0578	 0.1252
  CubeA-HW30	1.2165	 0.0091
CopperA-HW30	1.0578	 0.1179
     SA-HW30	1.0297	 0.1488
  GossA-HW30	1.2165	 0.0188
Gamma1F-HW30	1.0578	 0.1208
Gamma1F-HW30	1.0578	 0.1208
Gamma2F-HW30	1.0578	 0.1216
  GossF-HW30	1.2165	 0.0188
 ShearF-HW30	1.2165	 0.0102
  o554F-HW30	1.0624	 0.1208
alpha1F-HW30	1.1323	 0.0754
alpha2F-HW30	1.0745	 0.1153
alpha3F-HW30	1.0578	 0.1261
alpha4F-HW30	1.0600	 0.1231
 RGossF-HW30	1.2165	 -0.0039
UniformA-HW35	1.0000	 -0.0000
UniformF-HW35	1.0000	 -0.0000
AlphaFiberF-HW35	1.0101	 -0.0037
GammaFiber2F-HW35	1.0146	 -0.0080
BetaFiberA-HW35	1.0095	 -0.0051
 BrassA-HW35	1.0147	 -0.0055
  CubeA-HW35	1.0564	 -0.0265
CopperA-HW35	1.0147	 -0.0097
     SA-HW35	1.0076	 -0.0041
  GossA-HW35	1.0564	 -0.0209
Gamma1F-HW35	1.0147	 -0.0080
Gamma1F-HW35	1.0147	 -0.0080
Gamma2F-HW35	1.0147	 -0.0081
  GossF-HW35	1.0564	 -0.0209
 ShearF-HW35	1.0564	 -0.0259
  o554F-HW35	1.0159	 -0.0073
alpha1F-HW35	1.0346	 -0.0151
alpha2F-HW35	1.0192	 -0.0075
alpha3F-HW35	1.0147	 -0.0054
alpha4F-HW35	1.0153	 -0.0063
 RGossF-HW35	1.0564	 -0.0339
UniformA-HW40	1.0000	 -0.0000
