        Name	    TI	   Ent
UniformF-HW40	1.0000	 -0.0000
AlphaFiberF-HW40	1.0020	 -0.0004
GammaFiber2F-HW40	1.0030	 -0.0017
BetaFiberA-HW40	1.0019	 -0.0010
 BrassA-HW40	1.0030	 -0.0006
  CubeA-HW40	1.0114	 -0.0054
CopperA-HW40	1.0030	 -0.0025
     SA-HW40	1.0015	 -0.0008
  GossA-HW40	1.0114	 -0.0029
Gamma1F-HW40	1.0030	 -0.0017
Gamma1F-HW40	1.0030	 -0.0017
Gamma2F-HW40	1.0030	 -0.0017
  GossF-HW40	1.0114	 -0.0029
 ShearF-HW40	1.0114	 -0.0051
  o554F-HW40	1.0032	 -0.0013
alpha1F-HW40	1.0070	 -0.0027
alpha2F-HW40	1.0039	 -0.0010
alpha3F-HW40	1.0030	 -0.0006
alpha4F-HW40	1.0031	 -0.0009
 RGossF-HW40	1.0114	 -0.0087
UniformA-HW45	1.0000	 -0.0000
UniformF-HW45	1.0000	 -0.0000
AlphaFiberF-HW45	1.0003	 0.0001
GammaFiber2F-HW45	1.0004	 -0.0003
BetaFiberA-HW45	1.0003	 -0.0002
 BrassA-HW45	1.0004	 0.0001
  CubeA-HW45	1.0015	 -0.0007
CopperA-HW45	1.0004	 -0.0006
     SA-HW45	1.0002	 -0.0001
  GossA-HW45	1.0015	 0.0002
Gamma1F-HW45	1.0004	 -0.0003
Gamma1F-HW45	1.0004	 -0.0003
Gamma2F-HW45	1.0004	 -0.0003
  GossF-HW45	1.0015	 0.0002
 ShearF-HW45	1.0015	 -0.0006
  o554F-HW45	1.0004	 -0.0001
alpha1F-HW45	1.0009	 -0.0002
alpha2F-HW45	1.0005	 0.0001
alpha3F-HW45	1.0004	 0.0001
alpha4F-HW45	1.0004	 0.0000
 RGossF-HW45	1.0015	 -0.0019
UniformA-HW50	1.0000	 -0.0000
UniformF-HW50	1.0000	 -0.0000
AlphaFiberF-HW50	1.0000	 0.0000
GammaFiber2F-HW50	1.0000	 -0.0000
BetaFiberA-HW50	1.0000	 -0.0000
 BrassA-HW50	1.0000	 0.0001
  CubeA-HW50	1.0001	 -0.0000
CopperA-HW50	1.0000	 -0.0001
     SA-HW50	1.0000	 -0.0000
  GossA-HW50	1.0001	 0.0002
Gamma1F-HW50	1.0000	 -0.0000
Gamma1F-HW50	1.0000	 -0.0000
Gamma2F-HW50	1.0000	 -0.0000
  GossF-HW50	1.0001	 0.0002
 ShearF-HW50	1.0001	 -0.0000
  o554F-HW50	1.0000	 0.0000
alpha1F-HW50	1.0001	 0.0000
alpha2F-HW50	1.0000	 0.0001
alpha3F-HW50	1.0000	 0.0001
alpha4F-HW50	1.0000	 0.0000
 RGossF-HW50	1.0001	 -0.0003
