# Tilt	Rotation	mrd
0.00	0.00	0.00
5.00	0.00	0.00
5.00	60.00	0.00
5.00	120.00	0.00
5.00	180.00	0.00
5.00	240.00	0.00
5.00	300.00	0.00
8.67	30.00	0.00
8.67	90.00	0.00
8.67	150.00	0.00
8.67	210.00	0.00
8.67	270.00	0.00
8.67	330.00	0.00
10.01	0.00	0.00
10.01	60.00	0.00
10.01	120.00	0.00
10.01	180.00	0.00
10.01	240.00	0.00
10.01	300.00	0.00
13.26	19.11	0.00
13.26	160.89	0.00
13.26	199.11	0.00
13.26	340.89	0.00
13.26	40.89	0.00
13.26	79.11	0.00
13.26	100.89	0.00
13.26	139.11	0.00
13.26	220.89	0.00
13.26	259.11	0.00
13.26	280.89	0.00
13.26	319.11	0.00
15.04	0.00	0.00
15.04	60.00	0.00
15.04	120.00	0.00
15.04	180.00	0.00
15.04	240.00	0.00
15.04	300.00	0.00
17.39	30.00	0.00
17.39	90.00	0.00
17.39	150.00	0.00
17.39	210.00	0.00
17.39	270.00	0.00
17.39	330.00	0.00
18.10	13.90	0.00
18.10	46.10	0.00
18.10	73.90	0.00
18.10	106.10	0.00
18.10	133.90	0.00
18.10	166.10	0.00
18.10	193.90	0.00
18.10	226.10	0.00
18.10	253.90	0.00
18.10	286.10	0.00
18.10	313.90	0.00
18.10	346.10	0.00
20.10	0.00	0.00
20.10	60.00	0.00
20.10	120.00	0.00
20.10	180.00	0.00
20.10	240.00	0.00
20.10	300.00	0.00
21.93	23.41	0.00
21.93	36.59	0.00
21.93	83.41	0.00
21.93	96.59	0.00
21.93	143.41	0.00
21.93	156.59	0.00
21.93	203.41	0.00
21.93	216.59	0.00
21.93	263.41	0.00
21.93	276.59	0.00
21.93	323.41	0.00
21.93	336.59	0.00
23.07	10.89	0.00
23.07	49.11	0.00
23.07	70.89	0.00
23.07	109.11	0.00
23.07	130.89	0.00
23.07	169.11	0.00
23.07	190.89	0.00
23.07	229.11	0.00
23.07	250.89	0.00
23.07	289.11	0.00
23.07	310.89	0.00
23.07	349.11	0.00
25.20	0.00	0.00
25.20	60.00	0.00
25.20	120.00	0.00
25.20	180.00	0.00
25.20	240.00	0.00
25.20	300.00	0.00
26.21	30.00	0.00
26.21	90.00	0.00
26.21	150.00	0.00
26.21	210.00	0.00
26.21	270.00	0.00
26.21	330.00	0.00
26.70	19.11	0.00
26.70	40.89	0.00
26.70	79.11	0.00
26.70	100.89	0.00
26.70	139.11	0.00
26.70	160.89	0.00
26.70	199.11	0.00
26.70	220.89	0.00
26.70	259.11	0.00
26.70	280.89	0.00
26.70	319.11	0.00
26.70	340.89	0.00
28.12	51.05	0.00
28.12	128.95	0.00
28.12	231.05	0.00
28.12	308.95	0.00
28.12	8.95	0.00
28.12	68.95	0.00
28.12	111.05	0.00
28.12	171.05	0.00
28.12	188.95	0.00
28.12	248.95	0.00
28.12	291.05	0.00
28.12	351.05	0.00
30.35	0.00	0.00
30.35	60.00	0.00
30.35	120.00	0.00
30.35	180.00	0.00
30.35	240.00	0.00
30.35	300.00	0.00
30.78	34.72	0.00
30.78	145.28	0.00
30.78	214.72	0.00
30.78	325.28	0.00
30.78	25.28	0.00
30.78	85.28	0.00
30.78	94.72	0.00
30.78	154.72	0.00
30.78	205.28	0.00
30.78	265.28	0.00
30.78	274.72	0.00
30.78	334.72	0.00
31.62	16.10	0.00
31.62	43.90	0.00
31.62	76.10	0.00
31.62	103.90	0.00
31.62	136.10	0.00
31.62	163.90	0.00
31.62	196.10	0.00
31.62	223.90	0.00
31.62	256.10	0.00
31.62	283.90	0.00
31.62	316.10	0.00
31.62	343.90	0.00
33.25	7.59	0.00
33.25	172.41	0.00
33.25	187.59	0.00
33.25	352.41	0.00
33.25	52.41	0.00
33.25	67.59	0.00
33.25	112.41	0.00
33.25	127.59	0.00
33.25	232.41	0.00
33.25	247.59	0.00
33.25	292.41	0.00
33.25	307.59	0.00
35.19	30.00	0.00
35.19	90.00	0.00
35.19	150.00	0.00
35.19	210.00	0.00
35.19	270.00	0.00
35.19	330.00	0.00
35.57	0.00	0.00
35.57	21.79	0.00
35.57	38.21	0.00
35.57	60.00	0.00
35.57	81.79	0.00
35.57	98.21	0.00
35.57	120.00	0.00
35.57	141.79	0.00
35.57	158.21	0.00
35.57	180.00	0.00
35.57	201.79	0.00
35.57	218.21	0.00
35.57	240.00	0.00
35.57	261.79	0.00
35.57	278.21	0.00
35.57	300.00	0.00
35.57	321.79	0.00
35.57	338.21	0.00
36.68	13.90	0.00
36.68	46.10	0.00
36.68	73.90	0.00
36.68	106.10	0.00
36.68	133.90	0.00
36.68	166.10	0.00
36.68	193.90	0.00
36.68	226.10	0.00
36.68	253.90	0.00
36.68	286.10	0.00
36.68	313.90	0.00
36.68	346.10	0.00
38.47	6.59	0.00
38.47	53.41	0.00
38.47	66.59	0.00
38.47	113.41	0.00
38.47	126.59	0.00
38.47	173.41	0.00
38.47	186.59	0.00
38.47	233.41	0.00
38.47	246.59	0.00
38.47	293.41	0.00
38.47	306.59	0.00
38.47	353.41	0.00
39.85	33.67	0.00
39.85	146.33	0.00
39.85	213.67	0.00
39.85	326.33	0.00
39.85	26.33	0.00
39.85	86.33	0.00
39.85	93.67	0.00
39.85	153.67	0.00
39.85	206.33	0.00
39.85	266.33	0.00
39.85	273.67	0.00
39.85	333.67	0.00
40.53	40.89	0.00
40.53	79.11	0.00
40.53	100.89	0.00
40.53	139.11	0.00
40.53	220.89	0.00
40.53	259.11	0.00
40.53	280.89	0.00
40.53	319.11	0.00
40.53	19.11	0.00
40.53	160.89	0.00
40.53	199.11	0.00
40.53	340.89	0.00
40.86	0.00	0.00
40.86	60.00	0.00
40.86	120.00	0.00
40.86	180.00	0.00
40.86	240.00	0.00
40.86	300.00	0.00
41.85	12.22	0.00
41.85	72.22	0.00
41.85	107.78	0.00
41.85	167.78	0.00
41.85	192.22	0.00
41.85	252.22	0.00
41.85	287.78	0.00
41.85	347.78	0.00
41.85	47.78	0.00
41.85	132.22	0.00
41.85	227.78	0.00
41.85	312.22	0.00
43.78	5.82	0.00
43.78	54.18	0.00
43.78	65.82	0.00
43.78	114.18	0.00
43.78	125.82	0.00
43.78	174.18	0.00
43.78	185.82	0.00
43.78	234.18	0.00
43.78	245.82	0.00
43.78	294.18	0.00
43.78	305.82	0.00
43.78	354.18	0.00
44.40	90.00	0.00
44.40	270.00	0.00
44.40	30.00	0.00
44.40	150.00	0.00
44.40	210.00	0.00
44.40	330.00	0.00
44.72	83.41	0.00
44.72	96.59	0.00
44.72	263.41	0.00
44.72	276.59	0.00
44.72	23.41	0.00
44.72	36.59	0.00
44.72	143.41	0.00
44.72	156.59	0.00
44.72	203.41	0.00
44.72	216.59	0.00
44.72	323.41	0.00
44.72	336.59	0.00
45.64	17.00	0.00
45.64	43.00	0.00
45.64	77.00	0.00
45.64	103.00	0.00
45.64	137.00	0.00
45.64	163.00	0.00
45.64	197.00	0.00
45.64	223.00	0.00
45.64	257.00	0.00
45.64	283.00	0.00
45.64	317.00	0.00
45.64	343.00	0.00
46.25	0.00	0.00
46.25	60.00	0.00
46.25	120.00	0.00
46.25	180.00	0.00
46.25	240.00	0.00
46.25	300.00	0.00
47.14	10.89	0.00
47.14	49.11	0.00
47.14	70.89	0.00
47.14	109.11	0.00
47.14	130.89	0.00
47.14	169.11	0.00
47.14	190.89	0.00
47.14	229.11	0.00
47.14	250.89	0.00
47.14	289.11	0.00
47.14	310.89	0.00
47.14	349.11	0.00
49.19	5.21	0.00
