# Tilt	Rotation	mrd
0.00	0.00	0.00
6.76	0.00	0.00
6.76	60.00	0.00
6.76	120.00	0.00
6.76	180.00	0.00
6.76	240.00	0.00
6.76	300.00	0.00
13.54	0.00	0.00
13.54	30.00	0.00
13.54	60.00	0.00
13.54	90.00	0.00
13.54	120.00	0.00
13.54	150.00	0.00
13.54	180.00	0.00
13.54	210.00	0.00
13.54	240.00	0.00
13.54	270.00	0.00
13.54	300.00	0.00
13.54	330.00	0.00
20.36	0.00	0.00
20.36	20.00	0.00
20.36	40.00	0.00
20.36	60.00	0.00
20.36	80.00	0.00
20.36	100.00	0.00
20.36	120.00	0.00
20.36	140.00	0.00
20.36	160.00	0.00
20.36	180.00	0.00
20.36	200.00	0.00
20.36	220.00	0.00
20.36	240.00	0.00
20.36	260.00	0.00
20.36	280.00	0.00
20.36	300.00	0.00
20.36	320.00	0.00
20.36	340.00	0.00
27.27	0.00	0.00
27.27	15.00	0.00
27.27	30.00	0.00
27.27	45.00	0.00
27.27	60.00	0.00
27.27	75.00	0.00
27.27	90.00	0.00
27.27	105.00	0.00
27.27	120.00	0.00
27.27	135.00	0.00
27.27	150.00	0.00
27.27	165.00	0.00
27.27	180.00	0.00
27.27	195.00	0.00
27.27	210.00	0.00
27.27	225.00	0.00
27.27	240.00	0.00
27.27	255.00	0.00
27.27	270.00	0.00
27.27	285.00	0.00
27.27	300.00	0.00
27.27	315.00	0.00
27.27	330.00	0.00
27.27	345.00	0.00
34.27	0.00	0.00
34.27	12.00	0.00
34.27	24.00	0.00
34.27	36.00	0.00
34.27	48.00	0.00
34.27	60.00	0.00
34.27	72.00	0.00
34.27	84.00	0.00
34.27	96.00	0.00
34.27	108.00	0.00
34.27	120.00	0.00
34.27	132.00	0.00
34.27	144.00	0.00
34.27	156.00	0.00
34.27	168.00	0.00
34.27	180.00	0.00
34.27	192.00	0.00
34.27	204.00	0.00
34.27	216.00	0.00
34.27	228.00	0.00
34.27	240.00	0.00
34.27	252.00	0.00
34.27	264.00	0.00
34.27	276.00	0.00
34.27	288.00	0.00
34.27	300.00	0.00
34.27	312.00	0.00
