# Tilt	Rotation	mrd
0.00	0.00	0.00
3.00	0.00	0.00
3.00	60.00	0.00
3.00	120.00	0.00
3.00	180.00	0.00
3.00	240.00	0.00
3.00	300.00	0.00
5.20	30.00	0.00
5.20	150.00	0.00
5.20	210.00	0.00
5.20	330.00	0.00
5.20	90.00	0.00
5.20	270.00	0.00
6.00	0.00	0.00
6.00	60.00	0.00
6.00	120.00	0.00
6.00	180.00	0.00
6.00	240.00	0.00
6.00	300.00	0.00
7.94	40.89	0.00
7.94	139.11	0.00
7.94	220.89	0.00
7.94	319.11	0.00
7.94	19.11	0.00
7.94	79.11	0.00
7.94	100.89	0.00
7.94	160.89	0.00
7.94	199.11	0.00
7.94	259.11	0.00
7.94	280.89	0.00
7.94	340.89	0.00
9.01	0.00	0.00
9.01	60.00	0.00
9.01	120.00	0.00
9.01	180.00	0.00
9.01	240.00	0.00
9.01	300.00	0.00
10.41	30.00	0.00
10.41	150.00	0.00
10.41	210.00	0.00
10.41	330.00	0.00
10.41	90.00	0.00
10.41	270.00	0.00
10.83	13.90	0.00
10.83	166.10	0.00
10.83	193.90	0.00
10.83	346.10	0.00
10.83	46.10	0.00
10.83	73.90	0.00
10.83	106.10	0.00
10.83	133.90	0.00
10.83	226.10	0.00
10.83	253.90	0.00
10.83	286.10	0.00
10.83	313.90	0.00
12.02	0.00	0.00
12.02	60.00	0.00
12.02	120.00	0.00
12.02	180.00	0.00
12.02	240.00	0.00
12.02	300.00	0.00
13.11	23.41	0.00
13.11	36.59	0.00
13.11	83.41	0.00
13.11	96.59	0.00
13.11	143.41	0.00
13.11	156.59	0.00
13.11	203.41	0.00
13.11	216.59	0.00
13.11	263.41	0.00
13.11	276.59	0.00
13.11	323.41	0.00
13.11	336.59	0.00
13.78	10.89	0.00
13.78	49.11	0.00
13.78	70.89	0.00
13.78	109.11	0.00
13.78	130.89	0.00
13.78	169.11	0.00
13.78	190.89	0.00
13.78	229.11	0.00
13.78	250.89	0.00
13.78	289.11	0.00
13.78	310.89	0.00
13.78	349.11	0.00
15.04	60.00	0.00
15.04	120.00	0.00
15.04	240.00	0.00
15.04	300.00	0.00
15.04	0.00	0.00
15.04	180.00	0.00
15.64	30.00	0.00
15.64	90.00	0.00
15.64	150.00	0.00
15.64	210.00	0.00
15.64	270.00	0.00
15.64	330.00	0.00
15.93	40.89	0.00
15.93	139.11	0.00
15.93	220.89	0.00
15.93	319.11	0.00
15.93	19.11	0.00
15.93	79.11	0.00
15.93	100.89	0.00
15.93	160.89	0.00
15.93	199.11	0.00
15.93	259.11	0.00
15.93	280.89	0.00
15.93	340.89	0.00
16.76	8.95	0.00
16.76	51.05	0.00
16.76	68.95	0.00
16.76	111.05	0.00
16.76	128.95	0.00
16.76	171.05	0.00
16.76	188.95	0.00
16.76	231.05	0.00
16.76	248.95	0.00
16.76	291.05	0.00
16.76	308.95	0.00
16.76	351.05	0.00
18.07	0.00	0.00
18.07	180.00	0.00
18.07	60.00	0.00
18.07	120.00	0.00
18.07	240.00	0.00
18.07	300.00	0.00
18.33	25.28	0.00
18.33	85.28	0.00
18.33	94.72	0.00
18.33	154.72	0.00
18.33	205.28	0.00
18.33	265.28	0.00
18.33	274.72	0.00
18.33	334.72	0.00
18.33	34.72	0.00
18.33	145.28	0.00
18.33	214.72	0.00
18.33	325.28	0.00
18.82	16.10	0.00
18.82	76.10	0.00
18.82	103.90	0.00
18.82	163.90	0.00
18.82	196.10	0.00
18.82	256.10	0.00
