# Tilt	Rotation	mrd
0.00	0.00	0.00
5.40	0.00	0.00
5.40	60.00	0.00
5.40	120.00	0.00
5.40	180.00	0.00
5.40	240.00	0.00
5.40	300.00	0.00
10.82	0.00	0.00
10.82	30.00	0.00
10.82	60.00	0.00
10.82	90.00	0.00
10.82	120.00	0.00
10.82	150.00	0.00
10.82	180.00	0.00
10.82	210.00	0.00
10.82	240.00	0.00
10.82	270.00	0.00
10.82	300.00	0.00
10.82	330.00	0.00
16.26	0.00	0.00
16.26	20.00	0.00
16.26	40.00	0.00
16.26	60.00	0.00
16.26	80.00	0.00
16.26	100.00	0.00
16.26	120.00	0.00
16.26	140.00	0.00
16.26	160.00	0.00
16.26	180.00	0.00
16.26	200.00	0.00
16.26	220.00	0.00
16.26	240.00	0.00
16.26	260.00	0.00
16.26	280.00	0.00
16.26	300.00	0.00
16.26	320.00	0.00
16.26	340.00	0.00
21.74	0.00	0.00
21.74	15.00	0.00
21.74	30.00	0.00
21.74	45.00	0.00
21.74	60.00	0.00
21.74	75.00	0.00
21.74	90.00	0.00
21.74	105.00	0.00
21.74	120.00	0.00
21.74	135.00	0.00
21.74	150.00	0.00
21.74	165.00	0.00
21.74	180.00	0.00
21.74	195.00	0.00
21.74	210.00	0.00
21.74	225.00	0.00
21.74	240.00	0.00
21.74	255.00	0.00
21.74	270.00	0.00
21.74	285.00	0.00
21.74	300.00	0.00
21.74	315.00	0.00
21.74	330.00	0.00
21.74	345.00	0.00
27.27	0.00	0.00
27.27	12.00	0.00
27.27	24.00	0.00
27.27	36.00	0.00
27.27	48.00	0.00
27.27	60.00	0.00
27.27	72.00	0.00
27.27	84.00	0.00
27.27	96.00	0.00
27.27	108.00	0.00
27.27	120.00	0.00
27.27	132.00	0.00
27.27	144.00	0.00
27.27	156.00	0.00
27.27	168.00	0.00
27.27	180.00	0.00
27.27	192.00	0.00
27.27	204.00	0.00
27.27	216.00	0.00
27.27	228.00	0.00
27.27	240.00	0.00
27.27	252.00	0.00
27.27	264.00	0.00
27.27	276.00	0.00
27.27	288.00	0.00
27.27	300.00	0.00
27.27	312.00	0.00
27.27	324.00	0.00
27.27	336.00	0.00
27.27	348.00	0.00
32.86	0.00	0.00
32.86	10.00	0.00
32.86	20.00	0.00
32.86	30.00	0.00
32.86	40.00	0.00
32.86	50.00	0.00
32.86	60.00	0.00
32.86	70.00	0.00
32.86	80.00	0.00
32.86	90.00	0.00
32.86	100.00	0.00
32.86	110.00	0.00
32.86	120.00	0.00
32.86	130.00	0.00
32.86	140.00	0.00
32.86	150.00	0.00
32.86	160.00	0.00
32.86	170.00	0.00
32.86	180.00	0.00
32.86	190.00	0.00
32.86	200.00	0.00
32.86	210.00	0.00
32.86	220.00	0.00
32.86	230.00	0.00
32.86	240.00	0.00
32.86	250.00	0.00
32.86	260.00	0.00
32.86	270.00	0.00
32.86	280.00	0.00
32.86	290.00	0.00
32.86	300.00	0.00
32.86	310.00	0.00
32.86	320.00	0.00
32.86	330.00	0.00
32.86	340.00	0.00
32.86	350.00	0.00
38.54	0.00	0.00
38.54	8.57	0.00
38.54	17.14	0.00
38.54	25.71	0.00
38.54	34.29	0.00
38.54	42.86	0.00
38.54	51.43	0.00
38.54	60.00	0.00
38.54	68.57	0.00
38.54	77.14	0.00
38.54	85.71	0.00
38.54	94.29	0.00
38.54	102.86	0.00
38.54	111.43	0.00
38.54	120.00	0.00
38.54	128.57	0.00
38.54	137.14	0.00
38.54	145.71	0.00
38.54	154.29	0.00
38.54	162.86	0.00
38.54	171.43	0.00
38.54	180.00	0.00
38.54	188.57	0.00
38.54	197.14	0.00
38.54	205.71	0.00
38.54	214.29	0.00
38.54	222.86	0.00
38.54	231.43	0.00
38.54	240.00	0.00
