# Tilt	Rotation	mrd
0.00	0.00	0.00
1.03	90.00	0.00
1.20	526.16	0.00
1.37	901.02	0.00
1.53	1230.13	0.00
1.70	1523.71	0.00
1.86	1788.84	0.00
2.02	2030.65	0.00
2.19	2252.98	0.00
2.35	2458.80	0.00
2.51	2650.42	0.00
2.67	2829.71	0.00
2.83	2998.18	0.00
2.99	3157.08	0.00
3.15	3307.45	0.00
3.31	3450.17	0.00
3.47	3585.99	0.00
3.63	3715.55	0.00
3.79	3839.41	0.00
3.95	3958.06	0.00
4.11	4071.92	0.00
4.27	4181.37	0.00
4.43	4286.74	0.00
4.59	4388.32	0.00
4.75	4486.38	0.00
4.91	4581.16	0.00
5.00	0.00	0.00
5.07	4672.87	0.00
5.22	4761.70	0.00
5.38	4847.84	0.00
5.54	4931.44	0.00
5.70	5012.65	0.00
5.86	5091.60	0.00
6.02	5168.41	0.00
6.17	5243.21	0.00
6.33	5316.09	0.00
6.49	5387.14	0.00
6.65	5456.46	0.00
6.81	5524.14	0.00
6.97	5590.24	0.00
7.12	5654.85	0.00
7.28	5718.02	0.00
7.44	5779.82	0.00
7.60	5840.31	0.00
7.76	5899.54	0.00
7.91	5957.56	0.00
8.07	6014.43	0.00
8.23	6070.19	0.00
8.39	6124.88	0.00
8.54	6178.53	0.00
8.70	6231.20	0.00
8.86	6282.92	0.00
9.02	6333.71	0.00
9.17	6383.62	0.00
9.33	6432.66	0.00
9.49	6480.88	0.00
9.65	6528.30	0.00
9.80	6574.95	0.00
9.96	6620.85	0.00
10.12	6666.02	0.00
10.28	6710.48	0.00
10.43	6754.27	0.00
10.59	6797.39	0.00
10.75	6839.88	0.00
10.91	6881.74	0.00
11.06	6923.00	0.00
11.22	6963.67	0.00
11.38	7003.77	0.00
11.54	7043.32	0.00
11.69	7082.33	0.00
11.85	7120.81	0.00
12.01	7158.78	0.00
12.17	7196.26	0.00
12.32	7233.25	0.00
12.48	7269.77	0.00
12.64	7305.82	0.00
12.79	7341.43	0.00
12.95	7376.60	0.00
13.11	7411.35	0.00
13.27	7445.68	0.00
13.42	7479.60	0.00
13.58	7513.12	0.00
13.74	7546.26	0.00
13.89	7579.02	0.00
