# Tilt	Rotation	RotationIndex	Omega	Weights	mrd
57.15	0.00	0.00	-30.00	0.00	0.00
57.15	180.00	36.00	30.00	0.00	0.00
57.28	5.94	1.00	-30.00	0.00	0.00
57.28	174.06	35.00	30.00	0.00	0.00
57.28	185.94	37.00	30.00	0.00	0.00
57.28	354.06	71.00	-30.00	0.00	0.00
57.67	11.84	2.00	-30.00	0.00	0.00
57.67	168.16	34.00	30.00	0.00	0.00
57.67	191.84	38.00	30.00	0.00	0.00
57.67	348.16	70.00	-30.00	0.00	0.00
58.31	197.69	39.00	30.00	0.00	0.00
58.31	17.69	3.00	-30.00	0.00	0.00
58.31	342.31	69.00	-30.00	0.00	0.00
58.31	162.31	33.00	30.00	0.00	0.00
59.18	156.56	32.00	30.00	0.00	0.00
59.18	336.56	68.00	-30.00	0.00	0.00
59.18	23.44	4.00	-30.00	0.00	0.00
59.18	203.44	40.00	30.00	0.00	0.00
60.29	29.08	5.00	-30.00	0.00	0.00
60.29	150.92	31.00	30.00	0.00	0.00
60.29	209.08	41.00	30.00	0.00	0.00
60.29	330.92	67.00	-30.00	0.00	0.00
61.61	34.59	6.00	-30.00	0.00	0.00
61.61	145.41	30.00	30.00	0.00	0.00
61.61	214.59	42.00	30.00	0.00	0.00
61.61	325.41	66.00	-30.00	0.00	0.00
62.15	0.00	0.00	-25.00	0.00	0.00
62.15	180.00	36.00	25.00	0.00	0.00
62.26	5.64	1.00	-25.00	0.00	0.00
62.26	185.64	37.00	25.00	0.00	0.00
62.26	354.36	71.00	-25.00	0.00	0.00
62.26	174.36	35.00	25.00	0.00	0.00
62.57	11.27	2.00	-25.00	0.00	0.00
62.57	168.73	34.00	25.00	0.00	0.00
62.57	191.27	38.00	25.00	0.00	0.00
62.57	348.73	70.00	-25.00	0.00	0.00
62.85	0.00	0.00	30.00	0.00	0.00
62.85	180.00	36.00	-30.00	0.00	0.00
62.97	5.61	1.00	30.00	0.00	0.00
62.97	174.39	35.00	-30.00	0.00	0.00
62.97	185.61	37.00	-30.00	0.00	0.00
62.97	354.39	71.00	30.00	0.00	0.00
63.08	16.85	3.00	-25.00	0.00	0.00
63.08	163.15	33.00	25.00	0.00	0.00
63.08	196.85	39.00	25.00	0.00	0.00
63.08	343.15	69.00	-25.00	0.00	0.00
63.12	39.96	7.00	-30.00	0.00	0.00
63.12	219.96	43.00	30.00	0.00	0.00
63.12	140.04	29.00	30.00	0.00	0.00
63.12	320.04	65.00	-30.00	0.00	0.00
63.33	11.19	2.00	30.00	0.00	0.00
63.33	168.81	34.00	-30.00	0.00	0.00
63.33	191.19	38.00	-30.00	0.00	0.00
63.33	348.81	70.00	30.00	0.00	0.00
63.79	22.38	4.00	-25.00	0.00	0.00
63.79	202.38	40.00	25.00	0.00	0.00
63.79	337.62	68.00	-25.00	0.00	0.00
63.79	157.62	32.00	25.00	0.00	0.00
63.94	16.72	3.00	30.00	0.00	0.00
63.94	163.28	33.00	-30.00	0.00	0.00
63.94	196.72	39.00	-30.00	0.00	0.00
63.94	343.28	69.00	30.00	0.00	0.00
64.69	27.83	5.00	-25.00	0.00	0.00
64.69	152.17	31.00	25.00	0.00	0.00
64.69	207.83	41.00	25.00	0.00	0.00
64.69	332.17	67.00	-25.00	0.00	0.00
64.77	22.19	4.00	30.00	0.00	0.00
64.77	157.81	32.00	-30.00	0.00	0.00
64.77	202.19	40.00	-30.00	0.00	0.00
