,Scheme,2peaks,4peaks,MaxUnique
0,ND Single,0.262992125984,0.266762797404,0.237529691211
1,RD Single,0.30155210643,0.25,0.247135842881
2,TD Single,0.262295081967,0.230909090909,0.25905858449
3,Morris,0.258320126783,0.256739409499,0.236907730673
4,Ring Perpendicular to ND,0.260765830954,0.248938586529,0.253581292907
5,Ring Perpendicular to RD,0.250971724716,0.251915154404,0.249082328264
6,Ring Perpendicular to TD,0.233848115613,0.250632644454,0.243246703367
7,NoRotation-tilt60deg,0.262972518095,0.266424976603,0.237626703301
8,Rotation-NoTilt,0.249187399889,0.258296111216,0.239950051997
9,Rotation-60detTilt,0.257046740552,0.259299659032,0.243242334649
10,HexGrid-90degTilt5degRes,0.249904075402,0.250078970817,0.249971039927
11,HexGrid-90degTilt22p5degRes,0.249410418647,0.249565851671,0.249883896229
12,HexGrid-60degTilt5degRes,0.247901439819,0.249379533517,0.250247631211
