# Tilt	Rotation	mrd
0.00	0.00	0.00
8.11	0.00	0.00
8.11	60.00	0.00
8.11	120.00	0.00
8.11	180.00	0.00
8.11	240.00	0.00
8.11	300.00	0.00
16.26	0.00	0.00
16.26	30.00	0.00
16.26	60.00	0.00
16.26	90.00	0.00
16.26	120.00	0.00
16.26	150.00	0.00
16.26	180.00	0.00
16.26	210.00	0.00
16.26	240.00	0.00
16.26	270.00	0.00
16.26	300.00	0.00
16.26	330.00	0.00
24.49	0.00	0.00
24.49	20.00	0.00
24.49	40.00	0.00
24.49	60.00	0.00
24.49	80.00	0.00
24.49	100.00	0.00
24.49	120.00	0.00
24.49	140.00	0.00
24.49	160.00	0.00
24.49	180.00	0.00
24.49	200.00	0.00
24.49	220.00	0.00
24.49	240.00	0.00
24.49	260.00	0.00
24.49	280.00	0.00
24.49	300.00	0.00
24.49	320.00	0.00
24.49	340.00	0.00
32.86	0.00	0.00
32.86	15.00	0.00
32.86	30.00	0.00
32.86	45.00	0.00
32.86	60.00	0.00
32.86	75.00	0.00
32.86	90.00	0.00
32.86	105.00	0.00
32.86	120.00	0.00
32.86	135.00	0.00
32.86	150.00	0.00
32.86	165.00	0.00
32.86	180.00	0.00
32.86	195.00	0.00
32.86	210.00	0.00
32.86	225.00	0.00
32.86	240.00	0.00
32.86	255.00	0.00
32.86	270.00	0.00
32.86	285.00	0.00
32.86	300.00	0.00
32.86	315.00	0.00
32.86	330.00	0.00
32.86	345.00	0.00
41.41	0.00	0.00
41.41	12.00	0.00
41.41	24.00	0.00
41.41	36.00	0.00
41.41	48.00	0.00
41.41	60.00	0.00
41.41	72.00	0.00
41.41	84.00	0.00
41.41	96.00	0.00
41.41	108.00	0.00
41.41	120.00	0.00
41.41	132.00	0.00
41.41	144.00	0.00
41.41	156.00	0.00
41.41	168.00	0.00
41.41	180.00	0.00
41.41	192.00	0.00
41.41	204.00	0.00
41.41	216.00	0.00
41.41	228.00	0.00
41.41	240.00	0.00
41.41	252.00	0.00
41.41	264.00	0.00
41.41	276.00	0.00
41.41	288.00	0.00
41.41	300.00	0.00
41.41	312.00	0.00
41.41	324.00	0.00
41.41	336.00	0.00
41.41	348.00	0.00
50.21	0.00	0.00
50.21	10.00	0.00
50.21	20.00	0.00
50.21	30.00	0.00
50.21	40.00	0.00
50.21	50.00	0.00
50.21	60.00	0.00
50.21	70.00	0.00
50.21	80.00	0.00
50.21	90.00	0.00
50.21	100.00	0.00
50.21	110.00	0.00
50.21	120.00	0.00
50.21	130.00	0.00
50.21	140.00	0.00
50.21	150.00	0.00
50.21	160.00	0.00
50.21	170.00	0.00
50.21	180.00	0.00
50.21	190.00	0.00
50.21	200.00	0.00
50.21	210.00	0.00
50.21	220.00	0.00
50.21	230.00	0.00
50.21	240.00	0.00
50.21	250.00	0.00
50.21	260.00	0.00
50.21	270.00	0.00
50.21	280.00	0.00
50.21	290.00	0.00
50.21	300.00	0.00
50.21	310.00	0.00
50.21	320.00	0.00
50.21	330.00	0.00
50.21	340.00	0.00
50.21	350.00	0.00
59.34	0.00	0.00
59.34	8.57	0.00
59.34	17.14	0.00
59.34	25.71	0.00
59.34	34.29	0.00
59.34	42.86	0.00
59.34	51.43	0.00
59.34	60.00	0.00
59.34	68.57	0.00
59.34	77.14	0.00
59.34	85.71	0.00
59.34	94.29	0.00
59.34	102.86	0.00
59.34	111.43	0.00
59.34	120.00	0.00
59.34	128.57	0.00
59.34	137.14	0.00
59.34	145.71	0.00
59.34	154.29	0.00
59.34	162.86	0.00
59.34	171.43	0.00
59.34	180.00	0.00
59.34	188.57	0.00
59.34	197.14	0.00
59.34	205.71	0.00
59.34	214.29	0.00
59.34	222.86	0.00
59.34	231.43	0.00
59.34	240.00	0.00
59.34	248.57	0.00
59.34	257.14	0.00
59.34	265.71	0.00
59.34	274.29	0.00
59.34	282.86	0.00
59.34	291.43	0.00
59.34	300.00	0.00
59.34	308.57	0.00
59.34	317.14	0.00
59.34	325.71	0.00
59.34	334.29	0.00
59.34	342.86	0.00
59.34	351.43	0.00
68.90	0.00	0.00
68.90	7.50	0.00
68.90	15.00	0.00
68.90	22.50	0.00
68.90	30.00	0.00
68.90	37.50	0.00
68.90	45.00	0.00
68.90	52.50	0.00
68.90	60.00	0.00
68.90	67.50	0.00
68.90	75.00	0.00
68.90	82.50	0.00
68.90	90.00	0.00
68.90	97.50	0.00
68.90	105.00	0.00
68.90	112.50	0.00
68.90	120.00	0.00
68.90	127.50	0.00
68.90	135.00	0.00
68.90	142.50	0.00
68.90	150.00	0.00
68.90	157.50	0.00
68.90	165.00	0.00
68.90	172.50	0.00
68.90	180.00	0.00
68.90	187.50	0.00
68.90	195.00	0.00
68.90	202.50	0.00
68.90	210.00	0.00
68.90	217.50	0.00
68.90	225.00	0.00
68.90	232.50	0.00
68.90	240.00	0.00
68.90	247.50	0.00
68.90	255.00	0.00
68.90	262.50	0.00
68.90	270.00	0.00
