# Tilt	Rotation	mrd
0.00	0.00	0.00
1.28	90.00	0.00
3.40	440.46	0.00
4.91	572.86	0.00
5.00	0.00	0.00
6.33	664.51	0.00
7.71	735.57	0.00
9.07	793.90	0.00
10.41	843.50	0.00
11.74	886.72	0.00
13.06	925.05	0.00
14.37	959.51	0.00
15.68	990.82	0.00
16.98	1019.53	0.00
18.27	1046.03	0.00
19.57	1070.66	0.00
20.86	1093.65	0.00
22.15	1115.23	0.00
23.43	1135.55	0.00
24.72	1154.75	0.00
26.00	1172.95	0.00
27.28	1190.26	0.00
28.56	1206.76	0.00
29.84	1222.52	0.00
31.11	1237.60	0.00
32.39	1252.06	0.00
33.66	1265.96	0.00
34.94	1279.32	0.00
36.21	1292.20	0.00
37.48	1304.63	0.00
38.75	1316.64	0.00
40.02	1328.25	0.00
41.29	1339.49	0.00
42.56	1350.39	0.00
43.83	1360.97	0.00
45.10	1371.23	0.00
46.36	1381.21	0.00
47.63	1390.92	0.00
48.90	1400.36	0.00
50.16	1409.57	0.00
51.43	1418.54	0.00
52.69	1427.29	0.00
53.96	1435.83	0.00
55.22	1444.17	0.00
56.49	1452.32	0.00
57.75	1460.28	0.00
59.02	1468.07	0.00
60.28	1475.70	0.00
61.54	1483.16	0.00
62.81	1490.48	0.00
64.07	1497.64	0.00
65.33	1504.66	0.00
66.59	1511.55	0.00
67.85	1518.31	0.00
69.11	1524.94	0.00
70.38	1531.45	0.00
71.64	1537.85	0.00
72.90	1544.13	0.00
74.16	1550.30	0.00
75.42	1556.37	0.00
76.68	1562.34	0.00
77.94	1568.21	0.00
79.20	1573.98	0.00
80.46	1579.66	0.00
81.72	1585.25	0.00
82.98	1590.76	0.00
84.24	1596.18	0.00
85.50	1601.53	0.00
86.76	1606.79	0.00
88.02	1611.98	0.00
89.27	1617.09	0.00
90.00	1620.00	0.00
