,Tilt,Rotation,RotationIndex,Omega,Weights
0,2.5,180.0,0,-90,0.0003031287958436323
1,5.588749809890501,116.60872319053499,1,-90,0.00030197529925836153
2,10.304678586733843,104.11351135216557,2,-90,0.00029852358830806386
3,15.202188525621125,99.57524352384056,3,-90,0.00029279993259727084
4,20.149293646043972,97.27480665298727,4,-90,0.00028484789260197954
5,25.116691401856542,95.89833584023182,5,-90,0.0002747279881481266
6,30.094319307558152,94.99051678989441,6,-90,0.0002625172378191723
7,35.07780560985032,94.35299055056298,7,-90,0.0002483085727981721
8,40.06494591023193,93.88581100061877,8,-90,0.00023221012960536165
9,45.054506967665645,93.53329359815984,9,-90,0.00021434442711394522
10,50.04574320776477,93.26206171722363,10,-90,0.0001948474341074869
11,55.038175435787466,93.050987760392,11,-90,0.00017386753447537416
12,60.031479585414814,92.8861411476181,12,-90,0.00015156439792181608
13,65.02542647255397,92.75806438933425,13,-90,0.00012810776478298778
14,70.01984709668818,92.66022088443039,14,-90,0.0001036761542005762
15,75.01461154380777,92.58807257820705,15,-90,7.845550548332593e-05
16,80.00961547698361,92.53851646188019,16,-90,5.263776299661789e-05
17,85.00477099197542,92.50953740834919,17,-90,2.6419415349955268e-05
18,90.0,92.5,18,-90,3.3071469274080947e-06
19,85.00477099197542,92.50953740834919,19,-90,2.6419415349954885e-05
20,80.00961547698363,92.53851646188019,20,-90,5.263776299661828e-05
21,75.01461154380776,92.58807257820705,21,-90,7.845550548332553e-05
22,70.01984709668818,92.66022088443039,22,-90,0.00010367615420057657
23,65.02542647255399,92.75806438933425,23,-90,0.00012810776478298702
24,60.03147958541484,92.8861411476181,24,-90,0.00015156439792181608
25,55.03817543578748,93.050987760392,25,-90,0.00017386753447537495
26,50.04574320776476,93.26206171722363,26,-90,0.0001948474341074869
27,45.054506967665645,93.53329359815984,27,-90,0.00021434442711394485
28,40.064945910231955,93.88581100061877,28,-90,0.0002322101296053628
29,35.077805609850344,94.35299055056299,29,-90,0.00024830857279817134
30,30.094319307558152,94.99051678989443,30,-90,0.0002625172378191723
31,25.116691401856542,95.89833584023184,31,-90,0.00027472798814812615
32,20.149293646043986,97.27480665298728,32,-90,0.00028484789260197917
33,15.202188525621125,99.57524352384057,33,-90,0.00029279993259727057
34,10.304678586733843,104.11351135216562,34,-90,0.000298523588308065
35,5.588749809890544,116.60872319053493,35,-90,0.00030197529925836137
36,2.5,179.99999999999986,36,-90,0.00030312879584363356
37,5.588749809890487,243.3912768094649,37,-90,0.00030197529925835975
38,10.304678586733843,255.8864886478344,38,-90,0.000298523588308065
39,15.202188525621096,260.4247564761594,39,-90,0.00029279993259727046
40,20.149293646043986,262.7251933470127,40,-90,0.00028484789260197776
41,25.116691401856542,264.1016641597682,41,-90,0.0002747279881481277
42,30.09431930755818,265.0094832101056,42,-90,0.0002625172378191723
43,35.077805609850316,265.647009449437,43,-90,0.00024830857279817286
44,40.06494591023193,266.1141889993812,44,-90,0.0002322101296053601
45,45.054506967665645,266.46670640184016,45,-90,0.000214344427113946
46,50.04574320776476,266.7379382827764,46,-90,0.0001948474341074869
47,55.03817543578745,266.949012239608,47,-90,0.00017386753447537454
48,60.031479585414786,267.1138588523819,48,-90,0.00015156439792181608
49,65.02542647255395,267.24193561066573,49,-90,0.00012810776478298856
50,70.01984709668815,267.3397791155696,50,-90,0.00010367615420057542
51,75.01461154380777,267.41192742179294,51,-90,7.845550548332632e-05
52,80.00961547698363,267.4614835381198,52,-90,5.263776299661789e-05
