# Tilt	Rotation	mrd
0.00	0.00	0.00
1.13	90.00	0.00
1.97	487.13	0.00
2.70	715.89	0.00
3.41	882.39	0.00
4.09	1014.52	0.00
4.77	1124.49	0.00
5.00	0.00	0.00
5.43	1218.89	0.00
6.10	1301.69	0.00
6.76	1375.50	0.00
7.41	1442.11	0.00
8.06	1502.84	0.00
8.71	1558.65	0.00
9.36	1610.31	0.00
10.01	1658.38	0.00
10.65	1703.36	0.00
11.29	1745.60	0.00
11.94	1785.45	0.00
12.58	1823.14	0.00
13.22	1858.92	0.00
13.86	1892.96	0.00
14.50	1925.42	0.00
15.14	1956.46	0.00
15.78	1986.19	0.00
16.41	2014.71	0.00
17.05	2042.13	0.00
17.69	2068.52	0.00
18.32	2093.96	0.00
18.96	2118.52	0.00
19.59	2142.26	0.00
20.23	2165.22	0.00
20.86	2187.47	0.00
21.50	2209.04	0.00
22.13	2229.97	0.00
22.77	2250.30	0.00
23.40	2270.07	0.00
24.03	2289.30	0.00
24.67	2308.02	0.00
25.30	2326.27	0.00
25.93	2344.05	0.00
26.56	2361.40	0.00
27.20	2378.34	0.00
27.83	2394.89	0.00
28.46	2411.06	0.00
29.09	2426.87	0.00
29.73	2442.34	0.00
30.36	2457.48	0.00
30.99	2472.30	0.00
31.62	2486.82	0.00
32.25	2501.05	0.00
32.88	2515.01	0.00
33.51	2528.69	0.00
34.14	2542.12	0.00
34.77	2555.30	0.00
35.40	2568.24	0.00
36.04	2580.95	0.00
36.67	2593.44	0.00
37.30	2605.71	0.00
37.93	2617.78	0.00
38.56	2629.64	0.00
39.19	2641.31	0.00
39.82	2652.80	0.00
40.45	2664.10	0.00
41.08	2675.22	0.00
41.71	2686.18	0.00
42.34	2696.97	0.00
42.97	2707.60	0.00
43.59	2718.07	0.00
44.22	2728.39	0.00
44.85	2738.57	0.00
45.48	2748.60	0.00
46.11	2758.50	0.00
46.74	2768.26	0.00
47.37	2777.88	0.00
48.00	2787.38	0.00
48.63	2796.76	0.00
49.26	2806.01	0.00
49.89	2815.15	0.00
50.52	2824.17	0.00
51.14	2833.07	0.00
51.77	2841.87	0.00
52.40	2850.57	0.00
53.03	2859.15	0.00
53.66	2867.64	0.00
54.29	2876.02	0.00
54.92	2884.31	0.00
55.55	2892.51	0.00
56.17	2900.61	0.00
56.80	2908.62	0.00
57.43	2916.54	0.00
58.06	2924.38	0.00
58.69	2932.13	0.00
59.32	2939.80	0.00
59.94	2947.38	0.00
60.57	2954.89	0.00
61.20	2962.32	0.00
61.83	2969.67	0.00
62.46	2976.95	0.00
63.09	2984.15	0.00
63.71	2991.29	0.00
64.34	2998.35	0.00
64.97	3005.34	0.00
65.60	3012.27	0.00
66.23	3019.13	0.00
66.85	3025.93	0.00
67.48	3032.66	0.00
68.11	3039.33	0.00
68.74	3045.93	0.00
69.36	3052.48	0.00
69.99	3058.97	0.00
70.62	3065.40	0.00
71.25	3071.77	0.00
71.88	3078.08	0.00
72.50	3084.35	0.00
73.13	3090.55	0.00
73.76	3096.71	0.00
74.39	3102.81	0.00
75.01	3108.86	0.00
75.64	3114.85	0.00
76.27	3120.80	0.00
76.90	3126.70	0.00
77.52	3132.56	0.00
78.15	3138.36	0.00
78.78	3144.12	0.00
79.41	3149.83	0.00
80.03	3155.50	0.00
80.66	3161.12	0.00
81.29	3166.70	0.00
81.92	3172.24	0.00
82.54	3177.73	0.00
83.17	3183.18	0.00
83.80	3188.59	0.00
84.43	3193.96	0.00
85.05	3199.29	0.00
85.68	3204.58	0.00
86.31	3209.83	0.00
86.93	3215.05	0.00
87.56	3220.22	0.00
88.19	3225.36	0.00
88.82	3230.47	0.00
89.44	3235.53	0.00
90.00	3240.00	0.00
