# Tilt	Rotation	mrd
0.40	331.30	0.00
2.20	201.30	0.00
3.38	116.53	0.00
4.31	49.94	0.00
5.09	353.58	0.00
5.78	303.92	0.00
6.40	259.08	0.00
6.97	217.89	0.00
7.51	179.62	0.00
8.00	143.71	0.00
8.48	109.78	0.00
8.92	77.55	0.00
9.35	46.77	0.00
9.76	17.28	0.00
10.15	348.91	0.00
10.53	321.56	0.00
10.90	295.13	0.00
11.26	269.51	0.00
11.60	244.65	0.00
11.94	220.48	0.00
12.26	196.94	0.00
12.58	173.99	0.00
12.89	151.58	0.00
13.20	129.69	0.00
13.50	108.26	0.00
13.79	87.28	0.00
14.07	66.72	0.00
14.35	46.55	0.00
14.63	26.75	0.00
14.90	7.31	0.00
15.16	348.19	0.00
15.43	329.39	0.00
15.68	310.90	0.00
15.93	292.68	0.00
16.18	274.74	0.00
16.43	257.07	0.00
16.67	239.64	0.00
16.91	222.45	0.00
17.15	205.49	0.00
17.38	188.75	0.00
17.61	172.22	0.00
17.83	155.89	0.00
18.06	139.76	0.00
18.28	123.82	0.00
18.50	108.07	0.00
18.72	92.48	0.00
18.93	77.07	0.00
19.14	61.82	0.00
19.35	46.73	0.00
19.56	31.80	0.00
19.76	17.01	0.00
19.97	2.37	0.00
20.17	347.87	0.00
20.37	333.50	0.00
20.57	319.27	0.00
20.76	305.16	0.00
20.96	291.18	0.00
21.15	277.32	0.00
21.34	263.58	0.00
21.53	249.96	0.00
21.72	236.44	0.00
21.90	223.04	0.00
22.09	209.74	0.00
22.27	196.55	0.00
22.45	183.46	0.00
22.63	170.46	0.00
22.81	157.57	0.00
22.99	144.76	0.00
23.17	132.05	0.00
23.34	119.43	0.00
23.52	106.90	0.00
23.69	94.46	0.00
23.86	82.10	0.00
24.03	69.82	0.00
24.20	57.62	0.00
24.37	45.50	0.00
24.54	33.46	0.00
24.70	21.50	0.00
24.87	9.61	0.00
25.03	357.79	0.00
25.19	346.04	0.00
25.36	334.37	0.00
25.52	322.76	0.00
25.68	311.22	0.00
25.84	299.75	0.00
26.00	288.34	0.00
26.15	277.00	0.00
26.31	265.72	0.00
26.47	254.50	0.00
26.62	243.34	0.00
26.77	232.24	0.00
26.93	221.20	0.00
27.08	210.21	0.00
27.23	199.29	0.00
27.38	188.42	0.00
27.53	177.60	0.00
27.68	166.84	0.00
27.83	156.13	0.00
27.98	145.47	0.00
28.13	134.86	0.00
28.27	124.31	0.00
28.42	113.80	0.00
28.56	103.35	0.00
28.71	92.94	0.00
28.85	82.58	0.00
29.00	72.26	0.00
29.14	61.99	0.00
29.28	51.77	0.00
29.42	41.59	0.00
29.56	31.46	0.00
29.70	21.37	0.00
29.84	11.32	0.00
29.98	1.31	0.00
30.12	351.35	0.00
30.26	341.43	0.00
30.40	331.55	0.00
30.53	321.70	0.00
30.67	311.90	0.00
30.80	302.14	0.00
30.94	292.41	0.00
31.07	282.72	0.00
31.21	273.07	0.00
31.34	263.46	0.00
31.47	253.88	0.00
31.61	244.34	0.00
31.74	234.84	0.00
31.87	225.37	0.00
32.00	215.93	0.00
32.13	206.53	0.00
32.26	197.17	0.00
32.39	187.83	0.00
32.52	178.53	0.00
32.65	169.26	0.00
32.78	160.03	0.00
32.91	150.82	0.00
33.03	141.65	0.00
33.16	132.51	0.00
33.29	123.40	0.00
33.41	114.32	0.00
33.54	105.27	0.00
33.66	96.25	0.00
33.79	87.26	0.00
33.91	78.30	0.00
34.04	69.36	0.00
34.16	60.46	0.00
34.28	51.58	0.00
34.41	42.73	0.00
34.53	33.91	0.00
34.65	25.12	0.00
34.77	16.35	0.00
34.89	7.61	0.00
35.02	358.90	0.00
35.14	350.21	0.00
35.26	341.55	0.00
35.38	332.91	0.00
35.50	324.30	0.00
35.62	315.72	0.00
35.73	307.15	0.00
35.85	298.62	0.00
35.97	290.10	0.00
36.09	281.62	0.00
36.21	273.15	0.00
36.32	264.71	0.00
36.44	256.29	0.00
36.56	247.90	0.00
36.67	239.53	0.00
36.79	231.18	0.00
36.90	222.85	0.00
37.02	214.55	0.00
37.14	206.26	0.00
37.25	198.00	0.00
37.36	189.76	0.00
37.48	181.55	0.00
37.59	173.35	0.00
37.71	165.18	0.00
37.82	157.02	0.00
37.93	148.89	0.00
38.04	140.77	0.00
38.16	132.68	0.00
38.27	124.61	0.00
38.38	116.56	0.00
38.49	108.52	0.00
38.60	100.51	0.00
38.72	92.51	0.00
38.83	84.54	0.00
38.94	76.58	0.00
39.05	68.65	0.00
39.16	60.73	0.00
39.27	52.83	0.00
39.38	44.95	0.00
39.48	37.08	0.00
39.59	29.24	0.00
39.70	21.41	0.00
39.81	13.60	0.00
39.92	5.81	0.00
40.03	358.04	0.00
40.14	350.28	0.00
40.24	342.54	0.00
40.35	334.82	0.00
40.46	327.11	0.00
40.56	319.42	0.00
40.67	311.75	0.00
40.78	304.10	0.00
40.88	296.46	0.00
40.99	288.83	0.00
41.09	281.23	0.00
41.20	273.63	0.00
41.30	266.06	0.00
41.41	258.50	0.00
41.51	250.96	0.00
41.62	243.43	0.00
41.72	235.92	0.00
41.83	228.42	0.00
41.93	220.94	0.00
42.04	213.47	0.00
42.14	206.02	0.00
42.24	198.58	0.00
42.35	191.16	0.00
42.45	183.75	0.00
42.55	176.35	0.00
42.65	168.97	0.00
42.76	161.61	0.00
42.86	154.26	0.00
42.96	146.92	0.00
43.06	139.60	0.00
43.16	132.29	0.00
43.26	124.99	0.00
43.37	117.71	0.00
43.47	110.44	0.00
43.57	103.19	0.00
43.67	95.95	0.00
43.77	88.72	0.00
43.87	81.50	0.00
43.97	74.30	0.00
44.07	67.11	0.00
44.17	59.94	0.00
44.27	52.77	0.00
44.37	45.62	0.00
44.47	38.49	0.00
44.56	31.36	0.00
44.66	24.25	0.00
44.76	17.15	0.00
44.86	10.06	0.00
44.96	2.98	0.00
45.06	355.92	0.00
45.15	348.87	0.00
45.25	341.83	0.00
45.35	334.80	0.00
45.45	327.78	0.00
45.54	320.78	0.00
45.64	313.78	0.00
45.74	306.80	0.00
