# Tilt	Rotation	mrd
0.00	0.00	0.00
1.06	90.00	0.00
1.43	512.74	0.00
1.78	827.93	0.00
2.12	1081.17	0.00
2.46	1293.57	0.00
2.79	1476.84	0.00
3.12	1638.21	0.00
3.45	1782.48	0.00
3.78	1912.99	0.00
4.10	2032.19	0.00
4.43	2141.93	0.00
4.75	2243.61	0.00
5.00	0.00	0.00
5.07	2338.36	0.00
5.39	2427.08	0.00
5.72	2510.50	0.00
6.04	2589.22	0.00
6.36	2663.75	0.00
6.68	2734.53	0.00
7.00	2801.91	0.00
7.32	2866.21	0.00
7.64	2927.70	0.00
7.96	2986.62	0.00
8.27	3043.18	0.00
8.59	3097.56	0.00
8.91	3149.93	0.00
9.23	3200.42	0.00
9.55	3249.18	0.00
9.87	3296.31	0.00
10.18	3341.93	0.00
10.50	3386.12	0.00
10.82	3428.98	0.00
11.13	3470.58	0.00
11.45	3510.99	0.00
11.77	3550.29	0.00
12.08	3588.53	0.00
12.40	3625.77	0.00
12.72	3662.05	0.00
13.03	3697.44	0.00
13.35	3731.96	0.00
13.67	3765.67	0.00
13.98	3798.60	0.00
14.30	3830.78	0.00
14.61	3862.25	0.00
14.93	3893.05	0.00
15.25	3923.19	0.00
15.56	3952.70	0.00
15.88	3981.62	0.00
16.19	4009.96	0.00
16.51	4037.75	0.00
16.82	4065.01	0.00
17.14	4091.76	0.00
17.45	4118.01	0.00
17.77	4143.79	0.00
18.09	4169.12	0.00
18.40	4194.00	0.00
18.72	4218.45	0.00
19.03	4242.50	0.00
19.35	4266.14	0.00
19.66	4289.41	0.00
19.98	4312.29	0.00
20.29	4334.82	0.00
20.61	4357.00	0.00
20.92	4378.84	0.00
21.24	4400.35	0.00
21.55	4421.54	0.00
21.86	4442.42	0.00
22.18	4463.00	0.00
22.49	4483.29	0.00
22.81	4503.29	0.00
23.12	4523.02	0.00
23.44	4542.48	0.00
23.75	4561.68	0.00
24.07	4580.63	0.00
24.38	4599.33	0.00
24.70	4617.78	0.00
25.01	4636.00	0.00
25.33	4654.00	0.00
25.64	4671.76	0.00
25.95	4689.32	0.00
26.27	4706.65	0.00
26.58	4723.78	0.00
26.90	4740.71	0.00
27.21	4757.44	0.00
27.53	4773.98	0.00
27.84	4790.33	0.00
28.15	4806.49	0.00
28.47	4822.48	0.00
28.78	4838.28	0.00
29.10	4853.92	0.00
29.41	4869.38	0.00
29.73	4884.68	0.00
30.04	4899.82	0.00
30.35	4914.80	0.00
30.67	4929.63	0.00
30.98	4944.30	0.00
