# Tilt	Rotation	mrd
0.00	0.00	0.00
5.00	0.00	0.00
5.00	60.00	0.00
5.00	120.00	0.00
5.00	180.00	0.00
5.00	240.00	0.00
5.00	300.00	0.00
10.00	0.00	0.00
10.00	30.00	0.00
10.00	60.00	0.00
10.00	90.00	0.00
10.00	120.00	0.00
10.00	150.00	0.00
10.00	180.00	0.00
10.00	210.00	0.00
10.00	240.00	0.00
10.00	270.00	0.00
10.00	300.00	0.00
10.00	330.00	0.00
15.00	0.00	0.00
15.00	18.95	0.00
15.00	37.89	0.00
15.00	56.84	0.00
15.00	75.79	0.00
15.00	94.74	0.00
15.00	113.68	0.00
15.00	132.63	0.00
15.00	151.58	0.00
15.00	170.53	0.00
15.00	189.47	0.00
15.00	208.42	0.00
15.00	227.37	0.00
15.00	246.32	0.00
15.00	265.26	0.00
15.00	284.21	0.00
15.00	303.16	0.00
15.00	322.11	0.00
15.00	341.05	0.00
15.00	360.00	0.00
20.00	0.00	0.00
20.00	14.40	0.00
20.00	28.80	0.00
20.00	43.20	0.00
20.00	57.60	0.00
20.00	72.00	0.00
20.00	86.40	0.00
20.00	100.80	0.00
20.00	115.20	0.00
20.00	129.60	0.00
20.00	144.00	0.00
20.00	158.40	0.00
20.00	172.80	0.00
20.00	187.20	0.00
20.00	201.60	0.00
20.00	216.00	0.00
20.00	230.40	0.00
20.00	244.80	0.00
20.00	259.20	0.00
20.00	273.60	0.00
20.00	288.00	0.00
20.00	302.40	0.00
20.00	316.80	0.00
20.00	331.20	0.00
20.00	345.60	0.00
20.00	360.00	0.00
25.00	0.00	0.00
25.00	12.00	0.00
25.00	24.00	0.00
25.00	36.00	0.00
25.00	48.00	0.00
25.00	60.00	0.00
25.00	72.00	0.00
25.00	84.00	0.00
25.00	96.00	0.00
25.00	108.00	0.00
25.00	120.00	0.00
25.00	132.00	0.00
25.00	144.00	0.00
25.00	156.00	0.00
25.00	168.00	0.00
25.00	180.00	0.00
25.00	192.00	0.00
25.00	204.00	0.00
25.00	216.00	0.00
25.00	228.00	0.00
25.00	240.00	0.00
25.00	252.00	0.00
25.00	264.00	0.00
25.00	276.00	0.00
25.00	288.00	0.00
25.00	300.00	0.00
25.00	312.00	0.00
25.00	324.00	0.00
25.00	336.00	0.00
25.00	348.00	0.00
30.00	0.00	0.00
30.00	10.00	0.00
30.00	20.00	0.00
30.00	30.00	0.00
30.00	40.00	0.00
30.00	50.00	0.00
30.00	60.00	0.00
30.00	70.00	0.00
30.00	80.00	0.00
30.00	90.00	0.00
30.00	100.00	0.00
30.00	110.00	0.00
30.00	120.00	0.00
30.00	130.00	0.00
30.00	140.00	0.00
30.00	150.00	0.00
30.00	160.00	0.00
30.00	170.00	0.00
30.00	180.00	0.00
30.00	190.00	0.00
30.00	200.00	0.00
30.00	210.00	0.00
30.00	220.00	0.00
30.00	230.00	0.00
30.00	240.00	0.00
30.00	250.00	0.00
30.00	260.00	0.00
30.00	270.00	0.00
30.00	280.00	0.00
30.00	290.00	0.00
30.00	300.00	0.00
30.00	310.00	0.00
30.00	320.00	0.00
30.00	330.00	0.00
30.00	340.00	0.00
30.00	350.00	0.00
35.00	0.00	0.00
35.00	8.78	0.00
35.00	17.56	0.00
35.00	26.34	0.00
35.00	35.12	0.00
35.00	43.90	0.00
35.00	52.68	0.00
35.00	61.46	0.00
35.00	70.24	0.00
35.00	79.02	0.00
35.00	87.80	0.00
35.00	96.59	0.00
35.00	105.37	0.00
35.00	114.15	0.00
35.00	122.93	0.00
35.00	131.71	0.00
35.00	140.49	0.00
35.00	149.27	0.00
35.00	158.05	0.00
35.00	166.83	0.00
35.00	175.61	0.00
35.00	184.39	0.00
35.00	193.17	0.00
35.00	201.95	0.00
35.00	210.73	0.00
35.00	219.51	0.00
35.00	228.29	0.00
35.00	237.07	0.00
35.00	245.85	0.00
35.00	254.63	0.00
35.00	263.41	0.00
35.00	272.20	0.00
35.00	280.98	0.00
35.00	289.76	0.00
35.00	298.54	0.00
35.00	307.32	0.00
35.00	316.10	0.00
35.00	324.88	0.00
35.00	333.66	0.00
35.00	342.44	0.00
35.00	351.22	0.00
35.00	360.00	0.00
40.00	0.00	0.00
40.00	7.83	0.00
40.00	15.65	0.00
40.00	23.48	0.00
40.00	31.30	0.00
40.00	39.13	0.00
40.00	46.96	0.00
40.00	54.78	0.00
40.00	62.61	0.00
40.00	70.43	0.00
40.00	78.26	0.00
40.00	86.09	0.00
40.00	93.91	0.00
40.00	101.74	0.00
40.00	109.57	0.00
40.00	117.39	0.00
40.00	125.22	0.00
40.00	133.04	0.00
40.00	140.87	0.00
40.00	148.70	0.00
40.00	156.52	0.00
40.00	164.35	0.00
40.00	172.17	0.00
40.00	180.00	0.00
40.00	187.83	0.00
40.00	195.65	0.00
40.00	203.48	0.00
40.00	211.30	0.00
40.00	219.13	0.00
40.00	226.96	0.00
40.00	234.78	0.00
40.00	242.61	0.00
40.00	250.43	0.00
40.00	258.26	0.00
40.00	266.09	0.00
40.00	273.91	0.00
40.00	281.74	0.00
40.00	289.57	0.00
40.00	297.39	0.00
40.00	305.22	0.00
40.00	313.04	0.00
40.00	320.87	0.00
40.00	328.70	0.00
40.00	336.52	0.00
40.00	344.35	0.00
40.00	352.17	0.00
45.00	0.00	0.00
45.00	7.06	0.00
45.00	14.12	0.00
45.00	21.18	0.00
45.00	28.24	0.00
45.00	35.29	0.00
45.00	42.35	0.00
45.00	49.41	0.00
45.00	56.47	0.00
45.00	63.53	0.00
45.00	70.59	0.00
45.00	77.65	0.00
45.00	84.71	0.00
45.00	91.76	0.00
45.00	98.82	0.00
45.00	105.88	0.00
45.00	112.94	0.00
45.00	120.00	0.00
45.00	127.06	0.00
45.00	134.12	0.00
45.00	141.18	0.00
45.00	148.24	0.00
45.00	155.29	0.00
45.00	162.35	0.00
45.00	169.41	0.00
45.00	176.47	0.00
45.00	183.53	0.00
45.00	190.59	0.00
45.00	197.65	0.00
45.00	204.71	0.00
45.00	211.76	0.00
45.00	218.82	0.00
45.00	225.88	0.00
45.00	232.94	0.00
45.00	240.00	0.00
45.00	247.06	0.00
45.00	254.12	0.00
45.00	261.18	0.00
45.00	268.24	0.00
45.00	275.29	0.00
45.00	282.35	0.00
45.00	289.41	0.00
45.00	296.47	0.00
45.00	303.53	0.00
45.00	310.59	0.00
45.00	317.65	0.00
45.00	324.71	0.00
45.00	331.76	0.00
45.00	338.82	0.00
45.00	345.88	0.00
45.00	352.94	0.00
50.00	0.00	0.00
50.00	6.55	0.00
50.00	13.09	0.00
50.00	19.64	0.00
50.00	26.18	0.00
50.00	32.73	0.00
50.00	39.27	0.00
50.00	45.82	0.00
50.00	52.36	0.00
50.00	58.91	0.00
50.00	65.45	0.00
50.00	72.00	0.00
50.00	78.55	0.00
50.00	85.09	0.00
50.00	91.64	0.00
50.00	98.18	0.00
50.00	104.73	0.00
50.00	111.27	0.00
50.00	117.82	0.00
50.00	124.36	0.00
50.00	130.91	0.00
50.00	137.45	0.00
50.00	144.00	0.00
50.00	150.55	0.00
50.00	157.09	0.00
50.00	163.64	0.00
50.00	170.18	0.00
50.00	176.73	0.00
50.00	183.27	0.00
50.00	189.82	0.00
50.00	196.36	0.00
50.00	202.91	0.00
50.00	209.45	0.00
50.00	216.00	0.00
50.00	222.55	0.00
50.00	229.09	0.00
50.00	235.64	0.00
50.00	242.18	0.00
50.00	248.73	0.00
50.00	255.27	0.00
50.00	261.82	0.00
50.00	268.36	0.00
50.00	274.91	0.00
50.00	281.45	0.00
