# Tilt	Rotation	mrd
0.00	0.00	0.00
4.05	0.00	0.00
4.05	60.00	0.00
4.05	120.00	0.00
4.05	180.00	0.00
4.05	240.00	0.00
4.05	300.00	0.00
8.11	0.00	0.00
8.11	30.00	0.00
8.11	60.00	0.00
8.11	90.00	0.00
8.11	120.00	0.00
8.11	150.00	0.00
8.11	180.00	0.00
8.11	210.00	0.00
8.11	240.00	0.00
8.11	270.00	0.00
8.11	300.00	0.00
8.11	330.00	0.00
12.18	0.00	0.00
12.18	20.00	0.00
12.18	40.00	0.00
12.18	60.00	0.00
12.18	80.00	0.00
12.18	100.00	0.00
12.18	120.00	0.00
12.18	140.00	0.00
12.18	160.00	0.00
12.18	180.00	0.00
12.18	200.00	0.00
12.18	220.00	0.00
12.18	240.00	0.00
12.18	260.00	0.00
12.18	280.00	0.00
12.18	300.00	0.00
12.18	320.00	0.00
12.18	340.00	0.00
16.26	0.00	0.00
16.26	15.00	0.00
16.26	30.00	0.00
16.26	45.00	0.00
16.26	60.00	0.00
16.26	75.00	0.00
16.26	90.00	0.00
16.26	105.00	0.00
16.26	120.00	0.00
16.26	135.00	0.00
16.26	150.00	0.00
16.26	165.00	0.00
16.26	180.00	0.00
16.26	195.00	0.00
16.26	210.00	0.00
16.26	225.00	0.00
16.26	240.00	0.00
16.26	255.00	0.00
16.26	270.00	0.00
16.26	285.00	0.00
16.26	300.00	0.00
16.26	315.00	0.00
16.26	330.00	0.00
16.26	345.00	0.00
20.36	0.00	0.00
20.36	12.00	0.00
20.36	24.00	0.00
20.36	36.00	0.00
20.36	48.00	0.00
20.36	60.00	0.00
20.36	72.00	0.00
20.36	84.00	0.00
20.36	96.00	0.00
20.36	108.00	0.00
20.36	120.00	0.00
20.36	132.00	0.00
20.36	144.00	0.00
20.36	156.00	0.00
20.36	168.00	0.00
20.36	180.00	0.00
20.36	192.00	0.00
20.36	204.00	0.00
20.36	216.00	0.00
20.36	228.00	0.00
20.36	240.00	0.00
20.36	252.00	0.00
20.36	264.00	0.00
20.36	276.00	0.00
20.36	288.00	0.00
20.36	300.00	0.00
20.36	312.00	0.00
20.36	324.00	0.00
20.36	336.00	0.00
20.36	348.00	0.00
24.49	0.00	0.00
24.49	10.00	0.00
24.49	20.00	0.00
24.49	30.00	0.00
24.49	40.00	0.00
24.49	50.00	0.00
24.49	60.00	0.00
24.49	70.00	0.00
24.49	80.00	0.00
24.49	90.00	0.00
24.49	100.00	0.00
24.49	110.00	0.00
24.49	120.00	0.00
24.49	130.00	0.00
24.49	140.00	0.00
24.49	150.00	0.00
24.49	160.00	0.00
24.49	170.00	0.00
24.49	180.00	0.00
24.49	190.00	0.00
24.49	200.00	0.00
24.49	210.00	0.00
24.49	220.00	0.00
24.49	230.00	0.00
24.49	240.00	0.00
24.49	250.00	0.00
24.49	260.00	0.00
24.49	270.00	0.00
24.49	280.00	0.00
24.49	290.00	0.00
24.49	300.00	0.00
24.49	310.00	0.00
24.49	320.00	0.00
24.49	330.00	0.00
24.49	340.00	0.00
24.49	350.00	0.00
28.66	0.00	0.00
28.66	8.57	0.00
28.66	17.14	0.00
28.66	25.71	0.00
28.66	34.29	0.00
28.66	42.86	0.00
28.66	51.43	0.00
28.66	60.00	0.00
28.66	68.57	0.00
28.66	77.14	0.00
28.66	85.71	0.00
28.66	94.29	0.00
28.66	102.86	0.00
28.66	111.43	0.00
28.66	120.00	0.00
28.66	128.57	0.00
28.66	137.14	0.00
28.66	145.71	0.00
28.66	154.29	0.00
28.66	162.86	0.00
28.66	171.43	0.00
28.66	180.00	0.00
28.66	188.57	0.00
28.66	197.14	0.00
28.66	205.71	0.00
28.66	214.29	0.00
28.66	222.86	0.00
28.66	231.43	0.00
28.66	240.00	0.00
28.66	248.57	0.00
28.66	257.14	0.00
28.66	265.71	0.00
28.66	274.29	0.00
28.66	282.86	0.00
28.66	291.43	0.00
28.66	300.00	0.00
28.66	308.57	0.00
28.66	317.14	0.00
28.66	325.71	0.00
28.66	334.29	0.00
28.66	342.86	0.00
28.66	351.43	0.00
32.86	0.00	0.00
32.86	7.50	0.00
32.86	15.00	0.00
32.86	22.50	0.00
32.86	30.00	0.00
32.86	37.50	0.00
32.86	45.00	0.00
32.86	52.50	0.00
32.86	60.00	0.00
32.86	67.50	0.00
32.86	75.00	0.00
32.86	82.50	0.00
32.86	90.00	0.00
32.86	97.50	0.00
32.86	105.00	0.00
32.86	112.50	0.00
32.86	120.00	0.00
32.86	127.50	0.00
32.86	135.00	0.00
32.86	142.50	0.00
32.86	150.00	0.00
32.86	157.50	0.00
32.86	165.00	0.00
32.86	172.50	0.00
32.86	180.00	0.00
32.86	187.50	0.00
32.86	195.00	0.00
32.86	202.50	0.00
32.86	210.00	0.00
32.86	217.50	0.00
32.86	225.00	0.00
32.86	232.50	0.00
32.86	240.00	0.00
32.86	247.50	0.00
32.86	255.00	0.00
32.86	262.50	0.00
32.86	270.00	0.00
32.86	277.50	0.00
32.86	285.00	0.00
32.86	292.50	0.00
32.86	300.00	0.00
32.86	307.50	0.00
32.86	315.00	0.00
32.86	322.50	0.00
32.86	330.00	0.00
32.86	337.50	0.00
32.86	345.00	0.00
32.86	352.50	0.00
37.11	0.00	0.00
37.11	6.67	0.00
37.11	13.33	0.00
37.11	20.00	0.00
37.11	26.67	0.00
37.11	33.33	0.00
37.11	40.00	0.00
37.11	46.67	0.00
37.11	53.33	0.00
37.11	60.00	0.00
37.11	66.67	0.00
37.11	73.33	0.00
37.11	80.00	0.00
37.11	86.67	0.00
37.11	93.33	0.00
37.11	100.00	0.00
37.11	106.67	0.00
37.11	113.33	0.00
37.11	120.00	0.00
37.11	126.67	0.00
37.11	133.33	0.00
37.11	140.00	0.00
37.11	146.67	0.00
37.11	153.33	0.00
37.11	160.00	0.00
37.11	166.67	0.00
37.11	173.33	0.00
37.11	180.00	0.00
37.11	186.67	0.00
37.11	193.33	0.00
37.11	200.00	0.00
37.11	206.67	0.00
37.11	213.33	0.00
37.11	220.00	0.00
37.11	226.67	0.00
37.11	233.33	0.00
37.11	240.00	0.00
37.11	246.67	0.00
37.11	253.33	0.00
37.11	260.00	0.00
37.11	266.67	0.00
37.11	273.33	0.00
37.11	280.00	0.00
37.11	286.67	0.00
37.11	293.33	0.00
37.11	300.00	0.00
37.11	306.67	0.00
37.11	313.33	0.00
37.11	320.00	0.00
37.11	326.67	0.00
37.11	333.33	0.00
37.11	340.00	0.00
37.11	346.67	0.00
37.11	353.33	0.00
41.41	0.00	0.00
41.41	6.00	0.00
41.41	12.00	0.00
41.41	18.00	0.00
41.41	24.00	0.00
41.41	30.00	0.00
41.41	36.00	0.00
41.41	42.00	0.00
41.41	48.00	0.00
41.41	54.00	0.00
41.41	60.00	0.00
41.41	66.00	0.00
41.41	72.00	0.00
41.41	78.00	0.00
41.41	84.00	0.00
41.41	90.00	0.00
41.41	96.00	0.00
41.41	102.00	0.00
41.41	108.00	0.00
41.41	114.00	0.00
41.41	120.00	0.00
41.41	126.00	0.00
41.41	132.00	0.00
41.41	138.00	0.00
41.41	144.00	0.00
41.41	150.00	0.00
41.41	156.00	0.00
41.41	162.00	0.00
41.41	168.00	0.00
41.41	174.00	0.00
41.41	180.00	0.00
41.41	186.00	0.00
41.41	192.00	0.00
41.41	198.00	0.00
41.41	204.00	0.00
41.41	210.00	0.00
41.41	216.00	0.00
41.41	222.00	0.00
41.41	228.00	0.00
41.41	234.00	0.00
41.41	240.00	0.00
41.41	246.00	0.00
41.41	252.00	0.00
41.41	258.00	0.00
41.41	264.00	0.00
41.41	270.00	0.00
41.41	276.00	0.00
41.41	282.00	0.00
41.41	288.00	0.00
41.41	294.00	0.00
41.41	300.00	0.00
41.41	306.00	0.00
41.41	312.00	0.00
41.41	318.00	0.00
41.41	324.00	0.00
41.41	330.00	0.00
41.41	336.00	0.00
41.41	342.00	0.00
41.41	348.00	0.00
41.41	354.00	0.00
45.77	0.00	0.00
45.77	5.45	0.00
45.77	10.91	0.00
45.77	16.36	0.00
45.77	21.82	0.00
45.77	27.27	0.00
45.77	32.73	0.00
45.77	38.18	0.00
45.77	43.64	0.00
45.77	49.09	0.00
45.77	54.55	0.00
45.77	60.00	0.00
45.77	65.45	0.00
45.77	70.91	0.00
45.77	76.36	0.00
45.77	81.82	0.00
45.77	87.27	0.00
45.77	92.73	0.00
45.77	98.18	0.00
45.77	103.64	0.00
45.77	109.09	0.00
45.77	114.55	0.00
45.77	120.00	0.00
45.77	125.45	0.00
45.77	130.91	0.00
45.77	136.36	0.00
45.77	141.82	0.00
45.77	147.27	0.00
45.77	152.73	0.00
45.77	158.18	0.00
45.77	163.64	0.00
45.77	169.09	0.00
45.77	174.55	0.00
45.77	180.00	0.00
45.77	185.45	0.00
45.77	190.91	0.00
45.77	196.36	0.00
45.77	201.82	0.00
45.77	207.27	0.00
45.77	212.73	0.00
45.77	218.18	0.00
45.77	223.64	0.00
45.77	229.09	0.00
45.77	234.55	0.00
45.77	240.00	0.00
45.77	245.45	0.00
45.77	250.91	0.00
45.77	256.36	0.00
45.77	261.82	0.00
45.77	267.27	0.00
45.77	272.73	0.00
45.77	278.18	0.00
45.77	283.64	0.00
45.77	289.09	0.00
45.77	294.55	0.00
45.77	300.00	0.00
45.77	305.45	0.00
45.77	310.91	0.00
45.77	316.36	0.00
45.77	321.82	0.00
45.77	327.27	0.00
45.77	332.73	0.00
45.77	338.18	0.00
45.77	343.64	0.00
45.77	349.09	0.00
45.77	354.55	0.00
50.21	0.00	0.00
50.21	5.00	0.00
50.21	10.00	0.00
50.21	15.00	0.00
50.21	20.00	0.00
50.21	25.00	0.00
50.21	30.00	0.00
50.21	35.00	0.00
50.21	40.00	0.00
50.21	45.00	0.00
50.21	50.00	0.00
50.21	55.00	0.00
50.21	60.00	0.00
50.21	65.00	0.00
50.21	70.00	0.00
50.21	75.00	0.00
50.21	80.00	0.00
50.21	85.00	0.00
50.21	90.00	0.00
50.21	95.00	0.00
50.21	100.00	0.00
50.21	105.00	0.00
50.21	110.00	0.00
50.21	115.00	0.00
50.21	120.00	0.00
50.21	125.00	0.00
50.21	130.00	0.00
50.21	135.00	0.00
50.21	140.00	0.00
50.21	145.00	0.00
50.21	150.00	0.00
50.21	155.00	0.00
50.21	160.00	0.00
50.21	165.00	0.00
50.21	170.00	0.00
50.21	175.00	0.00
50.21	180.00	0.00
50.21	185.00	0.00
50.21	190.00	0.00
50.21	195.00	0.00
50.21	200.00	0.00
50.21	205.00	0.00
50.21	210.00	0.00
50.21	215.00	0.00
50.21	220.00	0.00
50.21	225.00	0.00
50.21	230.00	0.00
50.21	235.00	0.00
50.21	240.00	0.00
50.21	245.00	0.00
50.21	250.00	0.00
50.21	255.00	0.00
50.21	260.00	0.00
50.21	265.00	0.00
50.21	270.00	0.00
50.21	275.00	0.00
50.21	280.00	0.00
50.21	285.00	0.00
50.21	290.00	0.00
50.21	295.00	0.00
50.21	300.00	0.00
50.21	305.00	0.00
50.21	310.00	0.00
50.21	315.00	0.00
50.21	320.00	0.00
50.21	325.00	0.00
50.21	330.00	0.00
50.21	335.00	0.00
50.21	340.00	0.00
50.21	345.00	0.00
50.21	350.00	0.00
50.21	355.00	0.00
54.73	0.00	0.00
54.73	4.62	0.00
54.73	9.23	0.00
54.73	13.85	0.00
54.73	18.46	0.00
54.73	23.08	0.00
54.73	27.69	0.00
54.73	32.31	0.00
54.73	36.92	0.00
54.73	41.54	0.00
54.73	46.15	0.00
54.73	50.77	0.00
54.73	55.38	0.00
54.73	60.00	0.00
54.73	64.62	0.00
54.73	69.23	0.00
54.73	73.85	0.00
54.73	78.46	0.00
54.73	83.08	0.00
54.73	87.69	0.00
54.73	92.31	0.00
54.73	96.92	0.00
54.73	101.54	0.00
54.73	106.15	0.00
54.73	110.77	0.00
54.73	115.38	0.00
54.73	120.00	0.00
54.73	124.62	0.00
54.73	129.23	0.00
54.73	133.85	0.00
54.73	138.46	0.00
54.73	143.08	0.00
54.73	147.69	0.00
54.73	152.31	0.00
54.73	156.92	0.00
54.73	161.54	0.00
54.73	166.15	0.00
54.73	170.77	0.00
54.73	175.38	0.00
54.73	180.00	0.00
54.73	184.62	0.00
54.73	189.23	0.00
54.73	193.85	0.00
54.73	198.46	0.00
54.73	203.08	0.00
54.73	207.69	0.00
54.73	212.31	0.00
54.73	216.92	0.00
54.73	221.54	0.00
54.73	226.15	0.00
54.73	230.77	0.00
54.73	235.38	0.00
54.73	240.00	0.00
54.73	244.62	0.00
54.73	249.23	0.00
54.73	253.85	0.00
54.73	258.46	0.00
54.73	263.08	0.00
54.73	267.69	0.00
54.73	272.31	0.00
54.73	276.92	0.00
54.73	281.54	0.00
54.73	286.15	0.00
54.73	290.77	0.00
54.73	295.38	0.00
54.73	300.00	0.00
54.73	304.62	0.00
54.73	309.23	0.00
54.73	313.85	0.00
54.73	318.46	0.00
54.73	323.08	0.00
54.73	327.69	0.00
54.73	332.31	0.00
54.73	336.92	0.00
54.73	341.54	0.00
54.73	346.15	0.00
54.73	350.77	0.00
54.73	355.38	0.00
59.34	0.00	0.00
59.34	4.29	0.00
